Lat,Lon,Alt,Year,JulianDay_Sin,Temp,O18,H2,O18 P,H2 P
52.3,104.2833333,427.25,2011,0.29671281927349075,283.98486,-14.0,-111.2,-10.777829,-80.18262
52.3,104.2833333,427.25,2011,-0.2135209154397959,296.2911,-9.7,-74.1,-11.285104,-82.26578
52.3,104.2833333,427.25,2011,-0.680773409477016,289.3462,-14.2,-101.4,-12.69731,-92.95946
52.3,104.2833333,427.25,2011,-0.9587178169872964,285.0388,-13.1,-108.0,-14.071083,-104.06759
52.3,104.2833333,427.25,2011,-0.9741004551724206,270.80997,-17.3,-127.0,-19.760487,-145.8668
52.3,104.2833333,427.25,2011,-0.7236440382959123,267.4311,-30.1,-224.1,-22.802803,-170.51602
52.3,104.2833333,427.25,2011,-0.2884824328806098,245.5639,-27.3,-208.7,-26.963655,-205.8813
52.3,104.2833333,427.25,2012,0.2386727660059501,261.34137,-29.0,-218.7,-21.380222,-163.75343
52.3,104.2833333,427.25,2012,0.6994583270516471,252.67146,-26.4,-207.4,-22.321096,-173.11449
52.3,104.2833333,427.25,2012,0.2802306751992159,285.04517,-10.0,-91.8,-10.61896,-78.805756
52.3,104.2833333,427.25,2012,-0.23030567023061196,288.55252,-13.0,-100.8,-11.967383,-87.6507
52.3,104.2833333,427.25,2012,-0.6932812268869771,293.38803,-11.0,-87.1,-12.328202,-90.11909
52.3,104.2833333,427.25,2012,-0.9634705485641486,282.70758,-15.0,-107.9,-14.310423,-105.87757
52.3,104.2833333,427.25,2012,-0.970063921851507,273.24136,-29.9,-225.5,-19.334635,-142.84464
52.3,104.2833333,427.25,2012,-0.7116566222817751,259.9701,-22.3,-165.9,-24.572603,-185.03612
52.3,104.2833333,427.25,2013,0.2386727660059501,255.33873,-29.2,-226.2,-22.526182,-173.16217
52.3,104.2833333,427.25,2013,0.6994583270516471,262.44476,-30.7,-251.3,-20.338293,-156.78032
52.3,104.2833333,427.25,2013,0.9510565162951535,272.0206,-21.8,-169.2,-17.6279,-134.3105
52.3,104.2833333,427.25,2013,0.9760105506323683,273.59277,-12.6,-86.7,-17.432167,-132.3157
