Lat,Lon,Alt,Year,JulianDay_Sin,Precip,O18,H2,O18 P,H2 P
52.3,104.2833333,427.25,2011,0.29671281927349075,0.0,-14.0,-111.2,-13.52243,-98.707855
52.3,104.2833333,427.25,2011,-0.2135209154397959,2.2211607e-05,-9.7,-74.1,-11.081098,-78.34918
52.3,104.2833333,427.25,2011,-0.680773409477016,4.754567e-05,-14.2,-101.4,-21.840273,-165.37286
52.3,104.2833333,427.25,2011,-0.9587178169872964,0.0,-13.1,-108.0,-19.36672,-146.20767
52.3,104.2833333,427.25,2011,-0.9741004551724206,0.0,-17.3,-127.0,-21.111954,-160.13751
52.3,104.2833333,427.25,2011,-0.7236440382959123,0.0,-30.1,-224.1,-22.494259,-170.77678
52.3,104.2833333,427.25,2011,-0.2884824328806098,0.0,-27.3,-208.7,-18.066654,-134.27441
52.3,104.2833333,427.25,2012,0.2386727660059501,5.3495005e-06,-29.0,-218.7,-20.267073,-153.77061
52.3,104.2833333,427.25,2012,0.6994583270516471,1.175598e-05,-26.4,-207.4,-18.325222,-140.99023
52.3,104.2833333,427.25,2012,0.2802306751992159,2.3862134e-05,-10.0,-91.8,-15.7588215,-116.84761
52.3,104.2833333,427.25,2012,-0.23030567023061196,0.0,-13.0,-100.8,-9.957094,-69.31303
52.3,104.2833333,427.25,2012,-0.6932812268869771,2.9586212e-05,-11.0,-87.1,-22.738989,-172.62714
52.3,104.2833333,427.25,2012,-0.9634705485641486,1.6699816e-05,-15.0,-107.9,-20.103546,-152.10747
52.3,104.2833333,427.25,2012,-0.970063921851507,0.0,-29.9,-225.5,-20.901274,-158.47418
52.3,104.2833333,427.25,2012,-0.7116566222817751,0.0,-22.3,-165.9,-23.01112,-174.879
52.3,104.2833333,427.25,2013,0.2386727660059501,0.0,-29.2,-226.2,-20.287169,-153.87595
52.3,104.2833333,427.25,2013,0.6994583270516471,0.0,-30.7,-251.3,-18.139893,-139.4167
52.3,104.2833333,427.25,2013,0.9510565162951535,0.0,-21.8,-169.2,-15.178014,-114.319046
52.3,104.2833333,427.25,2013,0.9760105506323683,0.0,-12.6,-86.7,-15.377359,-116.13839
52.3,104.2833333,427.25,2013,0.741222010848596,0.0,-12.8,-103.1,-14.9610405,-111.72302
52.3,104.2833333,427.25,2013,0.29671281927349075,0.0,-12.7,-99.7,-14.086738,-103.215706
52.3,104.2833333,427.25,2013,-0.2135209154397959,0.0,-12.2,-103.6,-12.018623,-85.79286
52.3,104.2833333,427.25,2013,-0.680773409477016,0.0,-10.9,-86.0,-23.330332,-177.33583
52.3,104.2833333,427.25,2013,-0.9587178169872964,0.0,-15.7,-117.2,-19.690878,-148.8091
52.3,104.2833333,427.25,2013,-0.9741004551724206,0.0,-16.3,-120.7,-21.490854,-163.19418
52.3,104.2833333,427.25,2014,-0.2884824328806098,1.1362139e-05,-29.6,-230.5,-19.03267,-142.0131
52.3,104.2833333,427.25,2015,0.2386727660059501,0.0,-27.6,-215.2,-20.569826,-155.9554
52.3,104.2833333,427.25,2015,0.6994583270516471,0.0,-25.9,-211.2,-17.830164,-136.71724
52.3,104.2833333,427.25,2015,0.9510565162951535,0.0,-21.7,-175.3,-15.06447,-113.29705
52.3,104.2833333,427.25,2015,0.9760105506323683,0.0,-15.3,-112.3,-15.25351,-115.027245
52.3,104.2833333,427.25,2015,0.741222010848596,0.0,-10.7,-84.6,-14.816786,-110.42335
52.3,104.2833333,427.25,2015,0.29671281927349075,0.0,-14.3,-107.2,-14.710951,-108.137764
52.3,104.2833333,427.25,2015,-0.2135209154397959,0.00010476876,-9.4,-61.8,-12.4713,-89.415215
52.3,104.2833333,427.25,2015,-0.680773409477016,5.4737215e-05,-12.1,-85.6,-24.457363,-186.40062
52.3,104.2833333,427.25,2015,-0.9587178169872964,0.0,-16.3,-127.3,-19.379068,-146.36234
52.3,104.2833333,427.25,2015,-0.9741004551724206,0.0,-20.7,-158.7,-21.106348,-160.14629
52.3,104.2833333,427.25,2015,-0.7236440382959123,0.0,-21.3,-169.8,-24.715536,-188.59143
52.3,104.2833333,427.25,2015,-0.2884824328806098,0.0,-25.5,-201.8,-19.347733,-144.52339
52.3,104.2833333,427.25,2016,0.2386727660059501,0.0,-33.8,-269.6,-20.790794,-157.62788
52.3,104.2833333,427.25,2016,0.6994583270516471,0.0,-26.1,-209.1,-17.745506,-135.93544
52.3,104.2833333,427.25,2016,0.9562348265919056,0.0,-26.0,-202.9,-15.037113,-113.05058
52.3,104.2833333,427.25,2016,0.9721181966290613,0.0,-12.5,-102.1,-15.152334,-114.104195
