Lat,Lon,Alt,Year,JulianDay_Sin,Temp,O18,H2,O18 P,H2 P
52.3,104.2833333,427.25,2011,0.29671281927349075,283.98486,-14.0,-111.2,-12.391882,-85.46828
52.3,104.2833333,427.25,2011,-0.2135209154397959,296.2911,-9.7,-74.1,-11.11291,-75.85543
52.3,104.2833333,427.25,2011,-0.680773409477016,289.3462,-14.2,-101.4,-10.851479,-74.13513
52.3,104.2833333,427.25,2011,-0.9587178169872964,285.0388,-13.1,-108.0,-11.950103,-82.01418
52.3,104.2833333,427.25,2011,-0.9741004551724206,270.80997,-17.3,-127.0,-19.445366,-139.5757
52.3,104.2833333,427.25,2011,-0.7236440382959123,267.4311,-30.1,-224.1,-19.423897,-139.41066
52.3,104.2833333,427.25,2011,-0.2884824328806098,245.5639,-27.3,-208.7,-16.214264,-114.73731
52.3,104.2833333,427.25,2012,0.2386727660059501,261.34137,-29.0,-218.7,-16.708054,-118.53321
52.3,104.2833333,427.25,2012,0.6994583270516471,252.67146,-26.4,-207.4,-15.065665,-105.90772
52.3,104.2833333,427.25,2012,0.2802306751992159,285.04517,-10.0,-91.8,-12.310772,-84.90205
52.3,104.2833333,427.25,2012,-0.23030567023061196,288.55252,-13.0,-100.8,-11.7316265,-80.731445
52.3,104.2833333,427.25,2012,-0.6932812268869771,293.38803,-11.0,-87.1,-10.749769,-73.273254
52.3,104.2833333,427.25,2012,-0.9634705485641486,282.70758,-15.0,-107.9,-12.918754,-89.40382
52.3,104.2833333,427.25,2012,-0.970063921851507,273.24136,-29.9,-225.5,-18.532928,-132.56154
52.3,104.2833333,427.25,2012,-0.7116566222817751,259.9701,-22.3,-165.9,-18.060608,-128.93068
52.3,104.2833333,427.25,2013,0.2386727660059501,255.33873,-29.2,-226.2,-17.14817,-121.91651
52.3,104.2833333,427.25,2013,0.6994583270516471,262.44476,-30.7,-251.3,-14.083453,-98.357185
52.3,104.2833333,427.25,2013,0.9510565162951535,272.0206,-21.8,-169.2,-12.94559,-89.610115
52.3,104.2833333,427.25,2013,0.9760105506323683,273.59277,-12.6,-86.7,-12.682593,-87.58839
52.3,104.2833333,427.25,2013,0.741222010848596,290.72104,-12.8,-103.1,-11.55812,-79.12974
52.3,104.2833333,427.25,2013,0.29671281927349075,288.98105,-12.7,-99.7,-11.508058,-78.77742
52.3,104.2833333,427.25,2013,-0.2135209154397959,288.6188,-12.2,-103.6,-11.574831,-79.59195
52.3,104.2833333,427.25,2013,-0.680773409477016,291.16858,-10.9,-86.0,-10.669803,-72.76955
52.3,104.2833333,427.25,2013,-0.9587178169872964,282.2556,-15.7,-117.2,-13.042201,-90.35279
52.3,104.2833333,427.25,2013,-0.9741004551724206,270.29587,-16.3,-120.7,-19.4561,-139.65822
52.3,104.2833333,427.25,2014,-0.2884824328806098,266.30817,-29.6,-230.5,-19.10186,-136.93507
52.3,104.2833333,427.25,2015,0.2386727660059501,254.0976,-27.6,-215.2,-16.976418,-120.5962
52.3,104.2833333,427.25,2015,0.6994583270516471,255.59766,-25.9,-211.2,-13.756049,-95.84034
52.3,104.2833333,427.25,2015,0.9510565162951535,264.8988,-21.7,-175.3,-12.285415,-84.535164
52.3,104.2833333,427.25,2015,0.9760105506323683,274.89346,-15.3,-112.3,-11.834563,-81.06934
52.3,104.2833333,427.25,2015,0.741222010848596,284.80615,-10.7,-84.6,-12.501983,-86.58901
52.3,104.2833333,427.25,2015,0.29671281927349075,289.6717,-14.3,-107.2,-11.4177685,-78.20688
52.3,104.2833333,427.25,2015,-0.2135209154397959,292.13568,-9.4,-61.8,-11.233232,-77.02329
52.3,104.2833333,427.25,2015,-0.680773409477016,286.79733,-12.1,-85.6,-10.750547,-73.47975
52.3,104.2833333,427.25,2015,-0.9587178169872964,279.96805,-16.3,-127.3,-14.475265,-101.36915
52.3,104.2833333,427.25,2015,-0.9741004551724206,278.67822,-20.7,-158.7,-15.441375,-108.795906
52.3,104.2833333,427.25,2015,-0.7236440382959123,271.8202,-21.3,-169.8,-18.640274,-133.38673
52.3,104.2833333,427.25,2015,-0.2884824328806098,261.45505,-25.5,-201.8,-18.74762,-134.21193
52.3,104.2833333,427.25,2016,0.2386727660059501,237.81444,-33.8,-269.6,-19.144798,-137.26515
52.3,104.2833333,427.25,2016,0.6994583270516471,256.34158,-26.1,-209.1,-13.342769,-92.66334
52.3,104.2833333,427.25,2016,0.9562348265919056,273.4593,-26.0,-202.9,-11.791625,-80.739265
52.3,104.2833333,427.25,2016,0.9721181966290613,276.23322,-12.5,-102.1,-11.313937,-77.06715
52.3,104.2833333,427.25,2016,0.7295575540864875,285.2303,-16.4,-124.2,-12.429353,-86.06111
52.3,104.2833333,427.25,2016,0.2802306751992159,295.30023,-12.4,-103.6,-11.0025835,-75.02725
52.3,104.2833333,427.25,2016,-0.23030567023061196,295.5241,-10.9,-82.7,-10.970706,-74.911995
52.3,104.2833333,427.25,2016,-0.6932812268869771,291.53262,-12.1,-89.8,-10.366989,-70.47123
52.3,104.2833333,427.25,2016,-0.9634705485641486,281.7547,-14.6,-109.1,-13.514522,-93.98365
52.3,104.2833333,427.25,2016,-0.970063921851507,278.09888,-27.5,-202.8,-15.741942,-111.10645
52.3,104.2833333,427.25,2016,-0.7116566222817751,266.15433,-27.8,-210.5,-18.167953,-129.75587
52.3,104.2833333,427.25,2016,-0.27195815753410524,254.54556,-26.4,-201.1,-17.416534,-123.9795
52.3,104.2833333,427.25,2012,-0.27195815753410524,256.0939,-35.1,-262.7,-18.125015,-129.4258
52.3,104.2833333,427.25,2017,0.9510565162951535,260.47137,-17.6,-126.8,-11.323493,-77.22645
52.3,104.2833333,427.25,2017,0.9760105506323683,270.12485,-20.9,-152.0,-11.614505,-79.37769
52.3,104.2833333,427.25,2017,0.2386727660059501,256.59677,-30.3,-230.6,-16.482628,-116.8003
52.3,104.2833333,427.25,2017,0.6994583270516471,260.36813,-25.9,-194.9,-13.009997,-90.10523
47.54260867,7.58371693,304.73438,2004,0.2386727660059501,274.69434,-11.9,-88.50962751,-12.33372,-84.9065
47.54260867,7.58371693,304.73438,2004,0.6994583270516471,276.20032,-9.88,-66.74413536,-11.8775015,-81.39942
47.54260867,7.58371693,304.73438,2004,0.9562348265919056,279.2048,-9.69,-71.5587575,-9.496552,-63.130188
47.54260867,7.58371693,304.73438,2004,0.9721181966290613,284.02167,-6.1,-40.66799847,-9.805469,-65.6818
47.54260867,7.58371693,304.73438,2004,0.7295575540864875,288.99155,-7.01,-50.25006643,-7.888612,-51.028015
47.54260867,7.58371693,304.73438,2004,0.2802306751992159,283.889,-7.21,-53.83051048,-7.1739945,-45.32543
47.54260867,7.58371693,304.73438,2004,-0.23030567023061196,294.9553,-5.49,-34.72560691,-6.0851088,-36.968002
47.54260867,7.58371693,304.73438,2004,-0.6932812268869771,292.1178,-4.8,-31.50057387,-6.3397684,-39.009155
47.54260867,7.58371693,304.73438,2004,-0.9634705485641486,289.50723,-4.92,-31.38678091,-7.231422,-45.746197
47.54260867,7.58371693,304.73438,2004,-0.970063921851507,282.97815,-10.75,-76.42100974,-8.149926,-52.744514
47.54260867,7.58371693,304.73438,2004,-0.7116566222817751,282.98523,-10.49,-75.39648751,-10.793311,-73.06495
47.54260867,7.58371693,304.73438,2004,-0.27195815753410524,279.3189,-13.22,-98.71358212,-11.700381,-80.03785
47.54260867,7.58371693,304.73438,2005,0.2386727660059501,279.46838,-6.66,-42.77138547,-11.915072,-81.68824
47.54260867,7.58371693,304.73438,2005,0.6994583270516471,280.56467,-15.78,-115.1328526,-9.90771,-66.25709
47.54260867,7.58371693,304.73438,2005,0.9510565162951535,280.88824,-8.02,-59.70485452,-9.822638,-65.71485
47.54260867,7.58371693,304.73438,2005,0.9760105506323683,288.3,-8.51,-58.19910378,-9.839492,-66.11289
47.54260867,7.58371693,304.73438,2005,0.741222010848596,293.8865,-6.95,-48.05079866,-7.6776114,-49.391518
