Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Temp,O18,H2,O18 P,H2 P
52.3,104.2833333,427.25,2011,0.29671281927349075,0,0,0,1,0,283.98486,-14.0,-111.2,-12.94668,-99.504845
52.3,104.2833333,427.25,2011,-0.2135209154397959,0,0,0,1,0,296.2911,-9.7,-74.1,-12.5932865,-96.43452
52.3,104.2833333,427.25,2011,-0.680773409477016,0,0,0,1,0,289.3462,-14.2,-101.4,-12.962629,-99.736305
52.3,104.2833333,427.25,2011,-0.9587178169872964,0,0,0,1,0,285.0388,-13.1,-108.0,-13.915318,-107.837
52.3,104.2833333,427.25,2011,-0.9741004551724206,0,0,0,1,0,270.80997,-17.3,-127.0,-18.193068,-143.28474
52.3,104.2833333,427.25,2011,-0.7236440382959123,0,0,0,1,0,267.4311,-30.1,-224.1,-21.515787,-170.62572
52.3,104.2833333,427.25,2011,-0.2884824328806098,0,0,0,1,0,245.5639,-27.3,-208.7,-26.772118,-214.39017
52.3,104.2833333,427.25,2012,0.2386727660059501,0,0,0,1,0,261.34137,-29.0,-218.7,-24.16933,-192.44003
52.3,104.2833333,427.25,2012,0.6994583270516471,0,0,0,1,0,252.67146,-26.4,-207.4,-24.973753,-199.22253
52.3,104.2833333,427.25,2012,0.2802306751992159,0,0,0,1,0,285.04517,-10.0,-91.8,-12.845905,-98.65919
52.3,104.2833333,427.25,2012,-0.23030567023061196,0,0,0,1,0,288.55252,-13.0,-100.8,-12.915337,-99.29647
52.3,104.2833333,427.25,2012,-0.6932812268869771,0,0,0,1,0,293.38803,-11.0,-87.1,-12.801573,-98.32703
52.3,104.2833333,427.25,2012,-0.9634705485641486,0,0,0,1,0,282.70758,-15.0,-107.9,-14.366262,-111.59062
52.3,104.2833333,427.25,2012,-0.970063921851507,0,0,0,1,0,273.24136,-29.9,-225.5,-16.52552,-129.4366
52.3,104.2833333,427.25,2012,-0.7116566222817751,0,0,0,1,0,259.9701,-22.3,-165.9,-24.54025,-195.37807
52.3,104.2833333,427.25,2013,0.2386727660059501,0,0,0,1,0,255.33873,-29.2,-226.2,-25.142536,-200.58647
52.3,104.2833333,427.25,2013,0.6994583270516471,0,0,0,1,0,262.44476,-30.7,-251.3,-23.494251,-186.8071
52.3,104.2833333,427.25,2013,0.9510565162951535,0,0,0,1,0,272.0206,-21.8,-169.2,-17.327873,-135.56223
52.3,104.2833333,427.25,2013,0.9760105506323683,0,0,0,1,0,273.59277,-12.6,-86.7,-15.995724,-124.50386
52.3,104.2833333,427.25,2013,0.741222010848596,0,0,0,1,0,290.72104,-12.8,-103.1,-12.282019,-93.77135
52.3,104.2833333,427.25,2013,0.29671281927349075,0,0,0,1,0,288.98105,-12.7,-99.7,-12.620825,-96.72252
52.3,104.2833333,427.25,2013,-0.2135209154397959,0,0,0,1,0,288.6188,-12.2,-103.6,-12.909414,-99.24427
52.3,104.2833333,427.25,2013,-0.680773409477016,0,0,0,1,0,291.16858,-10.9,-86.0,-12.891762,-99.11077
52.3,104.2833333,427.25,2013,-0.9587178169872964,0,0,0,1,0,282.2556,-15.7,-117.2,-14.413574,-111.95938
52.3,104.2833333,427.25,2013,-0.9741004551724206,0,0,0,1,0,270.29587,-16.3,-120.7,-18.551027,-146.24628
52.3,104.2833333,427.25,2014,-0.2884824328806098,0,0,0,1,0,266.30817,-29.6,-230.5,-22.696817,-180.44238
52.3,104.2833333,427.25,2015,0.2386727660059501,0,0,0,1,0,254.0976,-27.6,-215.2,-25.386202,-202.64418
52.3,104.2833333,427.25,2015,0.6994583270516471,0,0,0,1,0,255.59766,-25.9,-211.2,-24.631882,-196.34102
