Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Precip,O18,H2,O18 P,H2 P
52.3,104.2833333,427.25,2011,0.29671281927349075,0,0,0,1,0,0.0,-14.0,-111.2,-16.390045,-124.73659
52.3,104.2833333,427.25,2011,-0.2135209154397959,0,0,0,1,0,2.2211607e-05,-9.7,-74.1,-16.105618,-122.370895
52.3,104.2833333,427.25,2011,-0.680773409477016,0,0,0,1,0,4.754567e-05,-14.2,-101.4,-15.7363825,-119.303024
52.3,104.2833333,427.25,2011,-0.9587178169872964,0,0,0,1,0,0.0,-13.1,-108.0,-15.542726,-117.69246
52.3,104.2833333,427.25,2011,-0.9741004551724206,0,0,0,1,0,0.0,-17.3,-127.0,-15.518495,-117.49184
52.3,104.2833333,427.25,2011,-0.7236440382959123,0,0,0,1,0,0.0,-30.1,-224.1,-15.712152,-119.1024
52.3,104.2833333,427.25,2011,-0.2884824328806098,0,0,0,1,0,0.0,-27.3,-208.7,-15.978501,-121.314835
52.3,104.2833333,427.25,2012,0.2386727660059501,0,0,0,1,0,5.3495005e-06,-29.0,-218.7,-16.371967,-124.58333
52.3,104.2833333,427.25,2012,0.6994583270516471,0,0,0,1,0,1.175598e-05,-26.4,-207.4,-16.359852,-124.48302
52.3,104.2833333,427.25,2012,0.2802306751992159,0,0,0,1,0,2.3862134e-05,-10.0,-91.8,-16.371967,-124.58333
52.3,104.2833333,427.25,2012,-0.23030567023061196,0,0,0,1,0,0.0,-13.0,-100.8,-16.032925,-121.76903
52.3,104.2833333,427.25,2012,-0.6932812268869771,0,0,0,1,0,2.9586212e-05,-11.0,-87.1,-15.712152,-119.1024
52.3,104.2833333,427.25,2012,-0.9634705485641486,0,0,0,1,0,1.6699816e-05,-15.0,-107.9,-15.494264,-117.291214
52.3,104.2833333,427.25,2012,-0.970063921851507,0,0,0,1,0,0.0,-29.9,-225.5,-15.482148,-117.1909
52.3,104.2833333,427.25,2012,-0.7116566222817751,0,0,0,1,0,0.0,-22.3,-165.9,-15.712152,-119.1024
52.3,104.2833333,427.25,2013,0.2386727660059501,0,0,0,1,0,0.0,-29.2,-226.2,-16.359852,-124.48302
52.3,104.2833333,427.25,2013,0.6994583270516471,0,0,0,1,0,0.0,-30.7,-251.3,-16.347736,-124.382706
52.3,104.2833333,427.25,2013,0.9510565162951535,0,0,0,1,0,0.0,-21.8,-169.2,-16.40216,-124.8369
52.3,104.2833333,427.25,2013,0.9760105506323683,0,0,0,1,0,0.0,-12.6,-86.7,-16.40216,-124.8369
52.3,104.2833333,427.25,2013,0.741222010848596,0,0,0,1,0,0.0,-12.8,-103.1,-16.359852,-124.48302
52.3,104.2833333,427.25,2013,0.29671281927349075,0,0,0,1,0,0.0,-12.7,-99.7,-16.371967,-124.58333
52.3,104.2833333,427.25,2013,-0.2135209154397959,0,0,0,1,0,0.0,-12.2,-103.6,-16.002731,-121.51546
