Lat,Lon,Alt,Year,JulianDay_Sin,Temp,ENSO,NAO,O18,H2,O18 P,H2 P
52.3,104.2833333,427.25,2011,0.29671281927349075,283.98486,0.4,-1.28,-14.0,-111.2,-11.454342,-83.37309
52.3,104.2833333,427.25,2011,-0.2135209154397959,296.2911,1.6,-1.51,-9.7,-74.1,-10.647306,-76.61427
52.3,104.2833333,427.25,2011,-0.680773409477016,289.3462,0.7,-1.35,-14.2,-101.4,-11.618544,-84.526184
52.3,104.2833333,427.25,2011,-0.9587178169872964,285.0388,1.7,0.54,-13.1,-108.0,-12.872391,-94.67296
52.3,104.2833333,427.25,2011,-0.9741004551724206,270.80997,1.2,0.39,-17.3,-127.0,-20.763172,-158.34508
52.3,104.2833333,427.25,2011,-0.7236440382959123,267.4311,1.8,1.36,-30.1,-224.1,-23.409191,-179.60951
52.3,104.2833333,427.25,2011,-0.2884824328806098,245.5639,4.1,2.52,-27.3,-208.7,-28.747707,-223.5124
52.3,104.2833333,427.25,2012,0.2386727660059501,261.34137,1.8,1.17,-29.0,-218.7,-19.242096,-145.91843
52.3,104.2833333,427.25,2012,0.6994583270516471,252.67146,0.8,0.42,-26.4,-207.4,-22.440634,-171.47943
52.3,104.2833333,427.25,2012,0.2802306751992159,285.04517,-0.7,-2.53,-10.0,-91.8,-10.462391,-76.050354
52.3,104.2833333,427.25,2012,-0.23030567023061196,288.55252,-0.1,-1.32,-13.0,-100.8,-11.309841,-82.32599
52.3,104.2833333,427.25,2012,-0.6932812268869771,293.38803,-0.3,-0.98,-11.0,-87.1,-10.801043,-78.0341
52.3,104.2833333,427.25,2012,-0.9634705485641486,282.70758,0.4,-0.59,-15.0,-107.9,-13.145683,-96.99011
52.3,104.2833333,427.25,2012,-0.970063921851507,273.24136,0.5,-2.06,-29.9,-225.5,-17.00832,-128.61574
52.3,104.2833333,427.25,2012,-0.7116566222817751,259.9701,0.4,-0.58,-22.3,-165.9,-25.378727,-195.31685
52.3,104.2833333,427.25,2013,0.2386727660059501,255.33873,-0.1,0.35,-29.2,-226.2,-22.244997,-170.07446
52.3,104.2833333,427.25,2013,0.6994583270516471,262.44476,-0.4,-0.45,-30.7,-251.3,-19.042765,-144.25418
52.3,104.2833333,427.25,2013,0.9510565162951535,272.0206,2.5,-1.61,-21.8,-169.2,-16.94188,-127.29932
