Lat,Lon,Alt,Year,JulianDay_Sin,Temp,ENSO,NAO,O18,H2,O18 P,H2 P
52.3,104.2833333,427.25,2011,0.29671281927349075,283.98486,0.4,-1.28,-14.0,-111.2,-12.089047,-88.842316
52.3,104.2833333,427.25,2011,-0.2135209154397959,296.2911,1.6,-1.51,-9.7,-74.1,-11.726499,-85.82767
52.3,104.2833333,427.25,2011,-0.680773409477016,289.3462,0.7,-1.35,-14.2,-101.4,-11.545224,-84.32034
52.3,104.2833333,427.25,2011,-0.9587178169872964,285.0388,1.7,0.54,-13.1,-108.0,-13.456159,-100.21005
52.3,104.2833333,427.25,2011,-0.9741004551724206,270.80997,1.2,0.39,-17.3,-127.0,-17.84451,-136.69986
52.3,104.2833333,427.25,2011,-0.7236440382959123,267.4311,1.8,1.36,-30.1,-224.1,-20.276608,-156.92313
52.3,104.2833333,427.25,2011,-0.2884824328806098,245.5639,4.1,2.52,-27.3,-208.7,-27.85992,-219.97952
52.3,104.2833333,427.25,2012,0.2386727660059501,261.34137,1.8,1.17,-29.0,-218.7,-23.660397,-185.05984
52.3,104.2833333,427.25,2012,0.6994583270516471,252.67146,0.8,0.42,-26.4,-207.4,-26.243557,-206.53922
52.3,104.2833333,427.25,2012,0.2802306751992159,285.04517,-0.7,-2.53,-10.0,-91.8,-14.3474245,-107.62106
52.3,104.2833333,427.25,2012,-0.23030567023061196,288.55252,-0.1,-1.32,-13.0,-100.8,-10.548215,-76.03006
52.3,104.2833333,427.25,2012,-0.6932812268869771,293.38803,-0.3,-0.98,-11.0,-87.1,-11.371503,-82.875824
52.3,104.2833333,427.25,2012,-0.9634705485641486,282.70758,0.4,-0.59,-15.0,-107.9,-12.330747,-90.85208
52.3,104.2833333,427.25,2012,-0.970063921851507,273.24136,0.5,-2.06,-29.9,-225.5,-15.450177,-116.79062
52.3,104.2833333,427.25,2012,-0.7116566222817751,259.9701,0.4,-0.58,-22.3,-165.9,-25.367397,-199.25381
52.3,104.2833333,427.25,2013,0.2386727660059501,255.33873,-0.1,0.35,-29.2,-226.2,-25.39761,-199.50504
52.3,104.2833333,427.25,2013,0.6994583270516471,262.44476,-0.4,-0.45,-30.7,-251.3,-21.998714,-171.2427
52.3,104.2833333,427.25,2013,0.9510565162951535,272.0206,2.5,-1.61,-21.8,-169.2,-16.129955,-122.443085
52.3,104.2833333,427.25,2013,0.9760105506323683,273.59277,0.4,0.69,-12.6,-86.7,-16.590694,-126.2742
52.3,104.2833333,427.25,2013,0.741222010848596,290.72104,1.3,0.57,-12.8,-103.1,-11.288419,-82.18497
52.3,104.2833333,427.25,2013,0.29671281927349075,288.98105,2.0,0.52,-12.7,-99.7,-11.847348,-86.83255
52.3,104.2833333,427.25,2013,-0.2135209154397959,288.6188,1.3,0.67,-12.2,-103.6,-12.141919,-89.28195
52.3,104.2833333,427.25,2013,-0.680773409477016,291.16858,0.3,0.97,-10.9,-86.0,-11.458364,-83.59808
52.3,104.2833333,427.25,2013,-0.9587178169872964,282.2556,0.5,0.24,-15.7,-117.2,-12.882123,-95.43686
52.3,104.2833333,427.25,2013,-0.9741004551724206,270.29587,-0.1,-1.28,-16.3,-120.7,-15.888257,-120.43332
52.3,104.2833333,427.25,2014,-0.2884824328806098,266.30817,-0.9,1.86,-29.6,-230.5,-18.47897,-141.9755
52.3,104.2833333,427.25,2015,0.2386727660059501,254.0976,-1.4,1.79,-27.6,-215.2,-21.968502,-170.99149
52.3,104.2833333,427.25,2015,0.6994583270516471,255.59766,0.4,1.32,-25.9,-211.2,-24.32507,-190.5867
52.3,104.2833333,427.25,2015,0.9510565162951535,264.8988,-1.2,1.45,-21.7,-175.3,-19.55151,-150.89383
52.3,104.2833333,427.25,2015,0.9760105506323683,274.89346,-0.1,0.73,-15.3,-112.3,-15.67677,-118.674774
52.3,104.2833333,427.25,2015,0.741222010848596,284.80615,-1.2,0.15,-10.7,-84.6,-12.0948,-89.04586
52.3,104.2833333,427.25,2015,0.29671281927349075,289.6717,-0.9,-0.07,-14.3,-107.2,-11.337514,-82.5932
52.3,104.2833333,427.25,2015,-0.2135209154397959,292.13568,-1.9,-3.18,-9.4,-61.8,-12.700849,-93.929535
52.3,104.2833333,427.25,2015,-0.680773409477016,286.79733,-2.4,-0.76,-12.1,-85.6,-11.537671,-84.25754
52.3,104.2833333,427.25,2015,-0.9587178169872964,279.96805,-2.7,-0.65,-16.3,-127.3,-13.1464815,-97.63504
52.3,104.2833333,427.25,2015,-0.9741004551724206,278.67822,-2.8,0.44,-20.7,-158.7,-14.188809,-106.302155
52.3,104.2833333,427.25,2015,-0.7236440382959123,271.8202,-0.8,1.74,-21.3,-169.8,-16.469845,-125.26932
52.3,104.2833333,427.25,2015,-0.2884824328806098,261.45505,-0.9,2.24,-25.5,-201.8,-19.929165,-154.03409
52.3,104.2833333,427.25,2016,0.2386727660059501,237.81444,-3.6,0.12,-33.8,-269.6,-27.85992,-219.97952
52.3,104.2833333,427.25,2016,0.6994583270516471,256.34158,-3.2,1.58,-26.1,-209.1,-23.64529,-184.93423
52.3,104.2833333,427.25,2016,0.9562348265919056,273.4593,-0.1,0.73,-26.0,-202.9,-16.182827,-122.88272
52.3,104.2833333,427.25,2016,0.9721181966290613,276.23322,-2.0,0.38,-12.5,-102.1,-15.208478,-114.78085
52.3,104.2833333,427.25,2016,0.7295575540864875,285.2303,0.7,-0.77,-16.4,-124.2,-11.8700075,-87.020966
52.3,104.2833333,427.25,2016,0.2802306751992159,295.30023,1.1,-0.43,-12.4,-103.6,-10.812573,-78.22824
52.3,104.2833333,427.25,2016,-0.23030567023061196,295.5241,0.7,-1.76,-10.9,-82.7,-11.103368,-80.64624
52.3,104.2833333,427.25,2016,-0.6932812268869771,291.53262,1.2,-1.65,-12.1,-89.8,-12.134366,-89.21915
52.3,104.2833333,427.25,2016,-0.9634705485641486,281.7547,2.0,0.61,-14.6,-109.1,-14.158597,-106.050934
52.3,104.2833333,427.25,2016,-0.970063921851507,278.09888,-0.4,0.41,-27.5,-202.8,-13.033185,-96.69296
52.3,104.2833333,427.25,2016,-0.7116566222817751,266.15433,-0.2,-0.16,-27.8,-210.5,-20.5032,-158.80728
52.3,104.2833333,427.25,2016,-0.27195815753410524,254.54556,0.5,0.48,-26.4,-201.1,-26.560787,-209.17703
52.3,104.2833333,427.25,2012,-0.27195815753410524,256.0939,-1.0,0.17,-35.1,-262.7,-25.488247,-200.2587
52.3,104.2833333,427.25,2017,0.9510565162951535,260.47137,1.5,0.74,-17.6,-126.8,-22.980618,-179.40738
52.3,104.2833333,427.25,2017,0.9760105506323683,270.12485,-0.3,1.73,-20.9,-152.0,-17.028261,-130.39275
52.3,104.2833333,427.25,2017,0.2386727660059501,256.59677,0.3,0.48,-30.3,-230.6,-25.79037,-202.7709
52.3,104.2833333,427.25,2017,0.6994583270516471,260.36813,-0.1,1.0,-25.9,-194.9,-23.237423,-181.54276
47.54260867,7.58371693,304.73438,2004,0.2386727660059501,274.69434,-2.2,-0.29,-11.9,-88.50962751,-11.084485,-80.48923
47.54260867,7.58371693,304.73438,2004,0.6994583270516471,276.20032,2.0,-0.14,-9.88,-66.74413536,-10.990071,-79.70416
47.54260867,7.58371693,304.73438,2004,0.9562348265919056,279.2048,0.7,1.02,-9.69,-71.5587575,-9.223327,-65.225876
47.54260867,7.58371693,304.73438,2004,0.9721181966290613,284.02167,-1.5,1.15,-6.1,-40.66799847,-8.787469,-62.590572
47.54260867,7.58371693,304.73438,2004,0.7295575540864875,288.99155,1.7,0.19,-7.01,-50.25006643,-8.1159115,-57.770588
47.54260867,7.58371693,304.73438,2004,0.2802306751992159,283.889,-1.4,-0.89,-7.21,-53.83051048,-6.191964,-39.807175
47.54260867,7.58371693,304.73438,2004,-0.23030567023061196,294.9553,-0.8,1.13,-5.49,-34.72560691,-5.9391327,-35.041122
47.54260867,7.58371693,304.73438,2004,-0.6932812268869771,292.1178,-0.5,-0.48,-4.8,-31.50057387,-6.2070704,-39.932785
47.54260867,7.58371693,304.73438,2004,-0.9634705485641486,289.50723,-0.6,0.38,-4.92,-31.38678091,-6.9755983,-46.32321
47.54260867,7.58371693,304.73438,2004,-0.970063921851507,282.97815,-0.1,-1.1,-10.75,-76.42100974,-9.52477,-67.51996
47.54260867,7.58371693,304.73438,2004,-0.7116566222817751,282.98523,-1.1,0.73,-10.49,-75.39648751,-9.921308,-70.81723
47.54260867,7.58371693,304.73438,2004,-0.27195815753410524,279.3189,-1.3,1.21,-13.22,-98.71358212,-10.076146,-72.10474
47.54260867,7.58371693,304.73438,2005,0.2386727660059501,279.46838,0.6,1.52,-6.66,-42.77138547,-7.606282,-51.567444
47.54260867,7.58371693,304.73438,2005,0.6994583270516471,280.56467,-5.2,-0.06,-15.78,-115.1328526,-13.055844,-96.88138
47.54260867,7.58371693,304.73438,2005,0.9510565162951535,280.88824,0.5,-1.83,-8.02,-59.70485452,-8.276664,-57.889175
47.54260867,7.58371693,304.73438,2005,0.9760105506323683,288.3,-1.0,-0.3,-8.51,-58.19910378,-8.271793,-57.84577
47.54260867,7.58371693,304.73438,2005,0.741222010848596,293.8865,-1.3,-1.25,-6.95,-48.05079866,-7.679734,-47.12017
47.54260867,7.58371693,304.73438,2005,0.29671281927349075,293.25107,0.7,-0.05,-5.24,-32.64544918,-6.742897,-45.014015
47.54260867,7.58371693,304.73438,2005,-0.2135209154397959,290.88892,0.3,-0.51,-5.67,-37.45673818,-6.952939,-46.134796
