Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Temp,Precip,ENSO,NAO,O18,H2,O18 P,H2 P
52.3,104.2833333,427.25,2011,0.29671281927349075,0,0,0,1,0,283.98486,0.0,0.4,-1.28,-14.0,-111.2,-10.307675,-74.33257
52.3,104.2833333,427.25,2011,-0.2135209154397959,0,0,0,1,0,296.2911,2.2211607e-05,1.6,-1.51,-9.7,-74.1,-10.48435,-80.273865
52.3,104.2833333,427.25,2011,-0.680773409477016,0,0,0,1,0,289.3462,4.754567e-05,0.7,-1.35,-14.2,-101.4,-10.346979,-78.07487
52.3,104.2833333,427.25,2011,-0.9587178169872964,0,0,0,1,0,285.0388,0.0,1.7,0.54,-13.1,-108.0,-9.873725,-73.558556
52.3,104.2833333,427.25,2011,-0.9741004551724206,0,0,0,1,0,270.80997,0.0,1.2,0.39,-17.3,-127.0,-16.717274,-119.66446
52.3,104.2833333,427.25,2011,-0.7236440382959123,0,0,0,1,0,267.4311,0.0,1.8,1.36,-30.1,-224.1,-17.114172,-124.69077
52.3,104.2833333,427.25,2011,-0.2884824328806098,0,0,0,1,0,245.5639,0.0,4.1,2.52,-27.3,-208.7,-20.267881,-149.65764
52.3,104.2833333,427.25,2012,0.2386727660059501,0,0,0,1,0,261.34137,5.3495005e-06,1.8,1.17,-29.0,-218.7,-19.528187,-143.06659
52.3,104.2833333,427.25,2012,0.6994583270516471,0,0,0,1,0,252.67146,1.175598e-05,0.8,0.42,-26.4,-207.4,-24.227531,-180.0868
52.3,104.2833333,427.25,2012,0.2802306751992159,0,0,0,1,0,285.04517,2.3862134e-05,-0.7,-2.53,-10.0,-91.8,-9.461519,-64.491745
52.3,104.2833333,427.25,2012,-0.23030567023061196,0,0,0,1,0,288.55252,0.0,-0.1,-1.32,-13.0,-100.8,-10.060511,-73.18094
52.3,104.2833333,427.25,2012,-0.6932812268869771,0,0,0,1,0,293.38803,2.9586212e-05,-0.3,-0.98,-11.0,-87.1,-9.814536,-71.76866
52.3,104.2833333,427.25,2012,-0.9634705485641486,0,0,0,1,0,282.70758,1.6699816e-05,0.4,-0.59,-15.0,-107.9,-10.359199,-76.084625
52.3,104.2833333,427.25,2012,-0.970063921851507,0,0,0,1,0,273.24136,0.0,0.5,-2.06,-29.9,-225.5,-15.4553,-107.48967
52.3,104.2833333,427.25,2012,-0.7116566222817751,0,0,0,1,0,259.9701,0.0,0.4,-0.58,-22.3,-165.9,-19.15997,-139.98944
52.3,104.2833333,427.25,2013,0.2386727660059501,0,0,0,1,0,255.33873,0.0,-0.1,0.35,-29.2,-226.2,-19.82092,-145.21648
52.3,104.2833333,427.25,2013,0.6994583270516471,0,0,0,1,0,262.44476,0.0,-0.4,-0.45,-30.7,-251.3,-22.268564,-164.90073
52.3,104.2833333,427.25,2013,0.9510565162951535,0,0,0,1,0,272.0206,0.0,2.5,-1.61,-21.8,-169.2,-16.51446,-122.65309
52.3,104.2833333,427.25,2013,0.9760105506323683,0,0,0,1,0,273.59277,0.0,0.4,0.69,-12.6,-86.7,-15.061795,-109.541534
52.3,104.2833333,427.25,2013,0.741222010848596,0,0,0,1,0,290.72104,0.0,1.3,0.57,-12.8,-103.1,-9.820792,-71.74524
52.3,104.2833333,427.25,2013,0.29671281927349075,0,0,0,1,0,288.98105,0.0,2.0,0.52,-12.7,-99.7,-10.086466,-74.237175
52.3,104.2833333,427.25,2013,-0.2135209154397959,0,0,0,1,0,288.6188,0.0,1.3,0.67,-12.2,-103.6,-9.6360035,-70.42162
52.3,104.2833333,427.25,2013,-0.680773409477016,0,0,0,1,0,291.16858,0.0,0.3,0.97,-10.9,-86.0,-9.645904,-69.92936
52.3,104.2833333,427.25,2013,-0.9587178169872964,0,0,0,1,0,282.2556,0.0,0.5,0.24,-15.7,-117.2,-10.109245,-74.36288
52.3,104.2833333,427.25,2013,-0.9741004551724206,0,0,0,1,0,270.29587,0.0,-0.1,-1.28,-16.3,-120.7,-17.021648,-119.41547
52.3,104.2833333,427.25,2014,-0.2884824328806098,0,0,0,1,0,266.30817,1.1362139e-05,-0.9,1.86,-29.6,-230.5,-18.552893,-135.50502
52.3,104.2833333,427.25,2015,0.2386727660059501,0,0,0,1,0,254.0976,0.0,-1.4,1.79,-27.6,-215.2,-18.056406,-131.9229
52.3,104.2833333,427.25,2015,0.6994583270516471,0,0,0,1,0,255.59766,0.0,0.4,1.32,-25.9,-211.2,-19.977015,-146.35689
52.3,104.2833333,427.25,2015,0.9510565162951535,0,0,0,1,0,264.8988,0.0,-1.2,1.45,-21.7,-175.3,-21.082159,-155.34418
52.3,104.2833333,427.25,2015,0.9760105506323683,0,0,0,1,0,274.89346,0.0,-0.1,0.73,-15.3,-112.3,-12.506813,-89.911064
52.3,104.2833333,427.25,2015,0.741222010848596,0,0,0,1,0,284.80615,0.0,-1.2,0.15,-10.7,-84.6,-9.9459,-71.14156
52.3,104.2833333,427.25,2015,0.29671281927349075,0,0,0,1,0,289.6717,0.0,-0.9,-0.07,-14.3,-107.2,-9.654718,-69.44468
52.3,104.2833333,427.25,2015,-0.2135209154397959,0,0,0,1,0,292.13568,0.00010476876,-1.9,-3.18,-9.4,-61.8,-8.664077,-59.857227
52.3,104.2833333,427.25,2015,-0.680773409477016,0,0,0,1,0,286.79733,5.4737215e-05,-2.4,-0.76,-12.1,-85.6,-10.146618,-73.97934
52.3,104.2833333,427.25,2015,-0.9587178169872964,0,0,0,1,0,279.96805,0.0,-2.7,-0.65,-16.3,-127.3,-12.015659,-86.39417
52.3,104.2833333,427.25,2015,-0.9741004551724206,0,0,0,1,0,278.67822,0.0,-2.8,0.44,-20.7,-158.7,-13.477232,-96.22867
52.3,104.2833333,427.25,2015,-0.7236440382959123,0,0,0,1,0,271.8202,0.0,-0.8,1.74,-21.3,-169.8,-16.628426,-118.96474
52.3,104.2833333,427.25,2015,-0.2884824328806098,0,0,0,1,0,261.45505,0.0,-0.9,2.24,-25.5,-201.8,-18.418848,-134.40347
52.3,104.2833333,427.25,2016,0.2386727660059501,0,0,0,1,0,237.81444,0.0,-3.6,0.12,-33.8,-269.6,-18.752909,-139.82239
52.3,104.2833333,427.25,2016,0.6994583270516471,0,0,0,1,0,256.34158,0.0,-3.2,1.58,-26.1,-209.1,-19.892502,-146.86098
52.3,104.2833333,427.25,2016,0.9562348265919056,0,0,0,1,0,273.4593,0.0,-0.1,0.73,-26.0,-202.9,-13.853891,-99.69494
52.3,104.2833333,427.25,2016,0.9721181966290613,0,0,0,1,0,276.23322,0.0,-2.0,0.38,-12.5,-102.1,-10.70524,-77.09475
52.3,104.2833333,427.25,2016,0.7295575540864875,0,0,0,1,0,285.2303,0.0,0.7,-0.77,-16.4,-124.2,-9.989004,-74.89096
52.3,104.2833333,427.25,2016,0.2802306751992159,0,0,0,1,0,295.30023,0.0,1.1,-0.43,-12.4,-103.6,-10.299298,-77.14915
52.3,104.2833333,427.25,2016,-0.23030567023061196,0,0,0,1,0,295.5241,0.0,0.7,-1.76,-10.9,-82.7,-10.11962,-75.84165
52.3,104.2833333,427.25,2016,-0.6932812268869771,0,0,0,1,0,291.53262,0.0,1.2,-1.65,-12.1,-89.8,-9.818769,-74.381645
52.3,104.2833333,427.25,2016,-0.9634705485641486,0,0,0,1,0,281.7547,6.515779e-05,2.0,0.61,-14.6,-109.1,-9.562333,-69.38231
52.3,104.2833333,427.25,2016,-0.970063921851507,0,0,0,1,0,278.09888,3.4144956e-05,-0.4,0.41,-27.5,-202.8,-12.116787,-83.65871
52.3,104.2833333,427.25,2016,-0.7116566222817751,0,0,0,1,0,266.15433,0.0,-0.2,-0.16,-27.8,-210.5,-17.176271,-123.581345
52.3,104.2833333,427.25,2016,-0.27195815753410524,0,0,0,1,0,254.54556,4.3128384e-06,0.5,0.48,-26.4,-201.1,-17.430887,-126.37238
52.3,104.2833333,427.25,2012,-0.27195815753410524,0,0,0,1,0,256.0939,0.0,-1.0,0.17,-35.1,-262.7,-21.284515,-157.14233
52.3,104.2833333,427.25,2017,0.9510565162951535,0,0,0,1,0,260.47137,0.0,1.5,0.74,-17.6,-126.8,-20.346703,-149.7529
52.3,104.2833333,427.25,2017,0.9760105506323683,0,0,0,1,0,270.12485,0.0,-0.3,1.73,-20.9,-152.0,-15.726856,-113.965126
52.3,104.2833333,427.25,2017,0.2386727660059501,0,0,0,1,0,256.59677,0.0,0.3,0.48,-30.3,-230.6,-15.639811,-112.68079
