Lat,Lon,Alt,Year,JulianDay_Sin,Precip,ENSO,NAO,O18,H2,O18 P,H2 P
52.3,104.2833333,427.25,2011,0.29671281927349075,0.0,0.4,-1.28,-14.0,-111.2,-9.521853,-69.72389
52.3,104.2833333,427.25,2011,-0.2135209154397959,2.2211607e-05,1.6,-1.51,-9.7,-74.1,-16.800022,-132.86781
52.3,104.2833333,427.25,2011,-0.680773409477016,4.754567e-05,0.7,-1.35,-14.2,-101.4,-9.380172,-72.497574
52.3,104.2833333,427.25,2011,-0.9587178169872964,0.0,1.7,0.54,-13.1,-108.0,-12.802573,-98.46901
52.3,104.2833333,427.25,2011,-0.9741004551724206,0.0,1.2,0.39,-17.3,-127.0,-12.678243,-97.26042
52.3,104.2833333,427.25,2011,-0.7236440382959123,0.0,1.8,1.36,-30.1,-224.1,-13.014703,-100.13405
52.3,104.2833333,427.25,2011,-0.2884824328806098,0.0,4.1,2.52,-27.3,-208.7,-14.865191,-116.08162
52.3,104.2833333,427.25,2012,0.2386727660059501,5.3495005e-06,1.8,1.17,-29.0,-218.7,-23.306263,-189.31465
52.3,104.2833333,427.25,2012,0.6994583270516471,1.175598e-05,0.8,0.42,-26.4,-207.4,-18.09325,-144.0876
52.3,104.2833333,427.25,2012,0.2802306751992159,2.3862134e-05,-0.7,-2.53,-10.0,-91.8,-11.699888,-90.997086
52.3,104.2833333,427.25,2012,-0.23030567023061196,0.0,-0.1,-1.32,-13.0,-100.8,-9.652179,-70.85457
52.3,104.2833333,427.25,2012,-0.6932812268869771,2.9586212e-05,-0.3,-0.98,-11.0,-87.1,-10.519343,-78.377914
52.3,104.2833333,427.25,2012,-0.9634705485641486,1.6699816e-05,0.4,-0.59,-15.0,-107.9,-16.589497,-131.04134
52.3,104.2833333,427.25,2012,-0.970063921851507,0.0,0.5,-2.06,-29.9,-225.5,-13.3927145,-107.94029
52.3,104.2833333,427.25,2012,-0.7116566222817751,0.0,0.4,-0.58,-22.3,-165.9,-14.20354,-110.34126
52.3,104.2833333,427.25,2013,0.2386727660059501,0.0,-0.1,0.35,-29.2,-226.2,-22.134247,-164.53459
52.3,104.2833333,427.25,2013,0.6994583270516471,0.0,-0.4,-0.45,-30.7,-251.3,-11.125857,-83.63991
52.3,104.2833333,427.25,2013,0.9510565162951535,0.0,2.5,-1.61,-21.8,-169.2,-16.626972,-137.11842
52.3,104.2833333,427.25,2013,0.9760105506323683,0.0,0.4,0.69,-12.6,-86.7,-16.499271,-130.25856
52.3,104.2833333,427.25,2013,0.741222010848596,0.0,1.3,0.57,-12.8,-103.1,-21.541859,-174.00703
52.3,104.2833333,427.25,2013,0.29671281927349075,0.0,2.0,0.52,-12.7,-99.7,-22.434086,-181.74782
52.3,104.2833333,427.25,2013,-0.2135209154397959,0.0,1.3,0.67,-12.2,-103.6,-18.533924,-146.85255
52.3,104.2833333,427.25,2013,-0.680773409477016,0.0,0.3,0.97,-10.9,-86.0,-12.694774,-97.25151
52.3,104.2833333,427.25,2013,-0.9587178169872964,0.0,0.5,0.24,-15.7,-117.2,-14.013064,-108.688736
52.3,104.2833333,427.25,2013,-0.9741004551724206,0.0,-0.1,-1.28,-16.3,-120.7,-16.771402,-136.68393
52.3,104.2833333,427.25,2014,-0.2884824328806098,1.1362139e-05,-0.9,1.86,-29.6,-230.5,-20.353653,-154.4098
52.3,104.2833333,427.25,2015,0.2386727660059501,0.0,-1.4,1.79,-27.6,-215.2,-18.754902,-149.82796
52.3,104.2833333,427.25,2015,0.6994583270516471,0.0,0.4,1.32,-25.9,-211.2,-11.321345,-85.33592
52.3,104.2833333,427.25,2015,0.9510565162951535,0.0,-1.2,1.45,-21.7,-175.3,-15.767444,-123.90938
52.3,104.2833333,427.25,2015,0.9760105506323683,0.0,-0.1,0.73,-15.3,-112.3,-16.258913,-127.49912
52.3,104.2833333,427.25,2015,0.741222010848596,0.0,-1.2,0.15,-10.7,-84.6,-16.630394,-125.95647
52.3,104.2833333,427.25,2015,0.29671281927349075,0.0,-0.9,-0.07,-14.3,-107.2,-10.189264,-75.82462
52.3,104.2833333,427.25,2015,-0.2135209154397959,0.00010476876,-1.9,-3.18,-9.4,-61.8,-5.9792604,-38.989067
52.3,104.2833333,427.25,2015,-0.680773409477016,5.4737215e-05,-2.4,-0.76,-12.1,-85.6,-12.739412,-97.67672
52.3,104.2833333,427.25,2015,-0.9587178169872964,0.0,-2.7,-0.65,-16.3,-127.3,-16.936052,-136.66368
52.3,104.2833333,427.25,2015,-0.9741004551724206,0.0,-2.8,0.44,-20.7,-158.7,-16.07822,-126.605606
52.3,104.2833333,427.25,2015,-0.7236440382959123,0.0,-0.8,1.74,-21.3,-169.8,-16.671846,-130.43272
52.3,104.2833333,427.25,2015,-0.2884824328806098,0.0,-0.9,2.24,-25.5,-201.8,-18.94596,-147.34563
52.3,104.2833333,427.25,2016,0.2386727660059501,0.0,-3.6,0.12,-33.8,-269.6,-20.30878,-163.3091
52.3,104.2833333,427.25,2016,0.6994583270516471,0.0,-3.2,1.58,-26.1,-209.1,-22.30376,-180.61714
52.3,104.2833333,427.25,2016,0.9562348265919056,0.0,-0.1,0.73,-26.0,-202.9,-15.727344,-123.56148
52.3,104.2833333,427.25,2016,0.9721181966290613,0.0,-2.0,0.38,-12.5,-102.1,-17.140873,-135.82497
52.3,104.2833333,427.25,2016,0.7295575540864875,0.0,0.7,-0.77,-16.4,-124.2,-13.534172,-104.7498
52.3,104.2833333,427.25,2016,0.2802306751992159,0.0,1.1,-0.43,-12.4,-103.6,-11.666254,-89.04298
52.3,104.2833333,427.25,2016,-0.23030567023061196,0.0,0.7,-1.76,-10.9,-82.7,-9.471728,-69.28902
52.3,104.2833333,427.25,2016,-0.6932812268869771,0.0,1.2,-1.65,-12.1,-89.8,-6.86961,-50.252678
52.3,104.2833333,427.25,2016,-0.9634705485641486,6.515779e-05,2.0,0.61,-14.6,-109.1,-13.479559,-104.32739
52.3,104.2833333,427.25,2016,-0.970063921851507,3.4144956e-05,-0.4,0.41,-27.5,-202.8,-15.957919,-125.561905
52.3,104.2833333,427.25,2016,-0.7116566222817751,0.0,-0.2,-0.16,-27.8,-210.5,-16.01807,-126.083755
52.3,104.2833333,427.25,2016,-0.27195815753410524,4.3128384e-06,0.5,0.48,-26.4,-201.1,-21.986435,-163.76436
52.3,104.2833333,427.25,2012,-0.27195815753410524,0.0,-1.0,0.17,-35.1,-262.7,-9.742404,-71.637344
52.3,104.2833333,427.25,2017,0.9510565162951535,0.0,1.5,0.74,-17.6,-126.8,-20.880207,-168.26668
52.3,104.2833333,427.25,2017,0.9760105506323683,0.0,-0.3,1.73,-20.9,-152.0,-14.173465,-110.08034
52.3,104.2833333,427.25,2017,0.2386727660059501,0.0,0.3,0.48,-30.3,-230.6,-21.050129,-157.07674
52.3,104.2833333,427.25,2017,0.6994583270516471,0.0,-0.1,1.0,-25.9,-194.9,-10.254172,-82.74742
47.54260867,7.58371693,304.73438,2004,0.2386727660059501,0.0,-2.2,-0.29,-11.9,-88.50962751,-12.2135725,-93.076706
47.54260867,7.58371693,304.73438,2004,0.6994583270516471,0.0,2.0,-0.14,-9.88,-66.74413536,-10.524356,-78.4214
47.54260867,7.58371693,304.73438,2004,0.9562348265919056,0.0,0.7,1.02,-9.69,-71.5587575,-9.81385,-73.080696
47.54260867,7.58371693,304.73438,2004,0.9721181966290613,0.0001690366,-1.5,1.15,-6.1,-40.66799847,-8.669726,-62.33101
47.54260867,7.58371693,304.73438,2004,0.7295575540864875,3.2743297e-05,1.7,0.19,-7.01,-50.25006643,-10.023105,-74.07265
47.54260867,7.58371693,304.73438,2004,0.2802306751992159,0.00010311205,-1.4,-0.89,-7.21,-53.83051048,-5.961163,-41.110077
47.54260867,7.58371693,304.73438,2004,-0.23030567023061196,0.00014510812,-0.8,1.13,-5.49,-34.72560691,-4.9141016,-29.747965
47.54260867,7.58371693,304.73438,2004,-0.6932812268869771,0.0,-0.5,-0.48,-4.8,-31.50057387,-6.3013144,-41.783142
47.54260867,7.58371693,304.73438,2004,-0.9634705485641486,0.0,-0.6,0.38,-4.92,-31.38678091,-5.895301,-38.26065
47.54260867,7.58371693,304.73438,2004,-0.970063921851507,7.0730985e-06,-0.1,-1.1,-10.75,-76.42100974,-9.421603,-68.85414
47.54260867,7.58371693,304.73438,2004,-0.7116566222817751,0.0,-1.1,0.73,-10.49,-75.39648751,-9.762454,-71.811295
47.54260867,7.58371693,304.73438,2004,-0.27195815753410524,3.385527e-05,-1.3,1.21,-13.22,-98.71358212,-11.356433,-85.640335
47.54260867,7.58371693,304.73438,2005,0.2386727660059501,0.00014786229,0.6,1.52,-6.66,-42.77138547,-8.430881,-65.06679
47.54260867,7.58371693,304.73438,2005,0.6994583270516471,3.187112e-05,-5.2,-0.06,-15.78,-115.1328526,-13.597665,-107.55989
47.54260867,7.58371693,304.73438,2005,0.9510565162951535,3.2876374e-05,0.5,-1.83,-8.02,-59.70485452,-8.6120825,-61.830902
47.54260867,7.58371693,304.73438,2005,0.9760105506323683,0.0,-1.0,-0.3,-8.51,-58.19910378,-8.892783,-64.266205
47.54260867,7.58371693,304.73438,2005,0.741222010848596,0.0,-1.3,-1.25,-6.95,-48.05079866,-7.3509035,-50.923134
47.54260867,7.58371693,304.73438,2005,0.29671281927349075,0.0,0.7,-0.05,-5.24,-32.64544918,-6.4062533,-43.14984
47.54260867,7.58371693,304.73438,2005,-0.2135209154397959,0.0,0.3,-0.51,-5.67,-37.45673818,-5.2987328,-33.62313
47.54260867,7.58371693,304.73438,2005,-0.680773409477016,0.0,-0.6,0.37,-6.33,-43.03745941,-5.719863,-36.738586
47.54260867,7.58371693,304.73438,2005,-0.9587178169872964,8.993772e-05,0.6,0.63,-9.610421834,-68.63931346,-6.962966,-47.5235
47.54260867,7.58371693,304.73438,2005,-0.9741004551724206,0.0,2.0,-0.98,-6.38,-42.73606861,-8.371482,-59.7435
47.54260867,7.58371693,304.73438,2005,-0.7236440382959123,4.1183062e-05,-0.3,-0.31,-14.2,-103.3116898,-9.27624,-67.593
47.54260867,7.58371693,304.73438,2005,-0.2884824328806098,8.7477296e-05,-0.0,-0.44,-10.79,-78.0619552,-8.940059,-67.28136
47.54260867,7.58371693,304.73438,2006,0.2386727660059501,7.0151014e-05,2.7,1.27,-10.39,-75.03694923,-10.228618,-75.85564
47.54260867,7.58371693,304.73438,2006,0.6994583270516471,3.0768017e-05,0.2,-0.51,-11.52,-90.29273588,-11.622096,-87.945175
47.54260867,7.58371693,304.73438,2006,0.9510565162951535,4.9994796e-05,2.9,-1.28,-11.23849183,-82.68571664,-9.306993,-69.1891
47.54260867,7.58371693,304.73438,2006,0.9760105506323683,0.0,1.8,1.24,-10.61,-76.08191291,-7.944951,-56.368164
47.54260867,7.58371693,304.73438,2006,0.741222010848596,0.00013877166,-0.8,-1.14,-8.47,-60.27743553,-7.2942867,-50.54177
47.54260867,7.58371693,304.73438,2006,0.29671281927349075,7.102581e-05,-0.4,0.84,-4.08,-26.00399436,-3.1550753,-26.191074
47.54260867,7.58371693,304.73438,2006,-0.2135209154397959,5.6691508e-05,-1.0,0.9,-3.64,-26.43863597,-5.015605,-30.628588
47.54260867,7.58371693,304.73438,2006,-0.680773409477016,3.7045822e-05,-1.7,-1.73,-8.43,-60.3623681,-8.288775,-59.025955
47.54260867,7.58371693,304.73438,2006,-0.9587178169872964,7.760747e-05,-1.0,-1.62,-7.78,-53.80678357,-6.817603,-46.26236
47.54260867,7.58371693,304.73438,2006,-0.9741004551724206,0.00011052796,-2.1,-2.24,-6.51,-49.6066388,-7.04066,-48.197556
47.54260867,7.58371693,304.73438,2006,-0.7236440382959123,0.0,0.1,0.44,-9.18,-67.40884533,-8.128375,-57.634354
47.54260867,7.58371693,304.73438,2006,-0.2884824328806098,0.0,-0.5,1.34,-11.11,-83.72738599,-10.793967,-75.31305
47.54260867,7.58371693,304.73438,2007,0.2386727660059501,0.0,-1.3,0.22,-12.87,-93.4449454,-8.288775,-59.025955
47.54260867,7.58371693,304.73438,2007,0.6994583270516471,1.2150103e-05,-0.1,-0.47,-9.46,-71.36453487,-11.541896,-87.249374
47.54260867,7.58371693,304.73438,2007,0.9510565162951535,2.0590902e-05,0.3,1.44,-12.11,-89.32212676,-10.123592,-75.07991
47.54260867,7.58371693,304.73438,2007,0.741222010848596,3.0439389e-05,-0.2,0.66,-7.87,-56.86635214,-7.1944904,-52.20188
47.54260867,7.58371693,304.73438,2007,0.29671281927349075,0.0,0.9,-1.31,-6.28,-44.71481808,-6.3200808,-42.278366
47.54260867,7.58371693,304.73438,2007,-0.2135209154397959,0.0,-0.5,-0.58,-6.05,-43.8169477,-5.849405,-40.652843
47.54260867,7.58371693,304.73438,2007,-0.680773409477016,0.0,0.7,-0.14,-6.87,-44.13363048,-5.915351,-38.4346
47.54260867,7.58371693,304.73438,2007,-0.9587178169872964,0.0,0.3,0.72,-6.87,-44.13363048,-6.249936,-41.337395
47.54260867,7.58371693,304.73438,2007,-0.9741004551724206,0.0,1.2,0.45,-8.99,-60.35032291,-7.4266233,-51.546097
47.54260867,7.58371693,304.73438,2007,-0.7236440382959123,5.4964064e-05,1.4,0.58,-10.78,-79.00926983,-8.870227,-64.07051
47.54260867,7.58371693,304.73438,2007,-0.2884824328806098,0.0,2.7,0.34,-8.37,-57.9994607,-10.915332,-81.81343
47.54260867,7.58371693,304.73438,2008,0.2386727660059501,0.0,2.9,0.89,-10.4,-82.10126519,-9.421603,-68.85414
47.54260867,7.58371693,304.73438,2008,0.6994583270516471,0.0,4.4,0.73,-8.5,-62.00643014,-9.376491,-68.46275
47.54260867,7.58371693,304.73438,2008,0.9562348265919056,7.351558e-05,2.4,0.08,-7.88,-58.24612426,-8.847671,-63.874817
47.54260867,7.58371693,304.73438,2008,0.9721181966290613,0.0,1.1,-1.07,-10.73,-81.57874164,-8.349449,-61.929207
47.54260867,7.58371693,304.73438,2008,0.7295575540864875,8.474604e-05,-0.1,-1.73,-6.26,-47.19478668,-6.5394087,-43.8488
47.54260867,7.58371693,304.73438,2008,0.2802306751992159,0.0,1.0,-1.39,-6.51,-47.19496585,-6.1760015,-40.695953
47.54260867,7.58371693,304.73438,2008,-0.23030567023061196,3.541625e-05,0.5,-1.27,-4.36,-26.28930766,-5.2152853,-32.61626
47.54260867,7.58371693,304.73438,2008,-0.6932812268869771,7.561996e-05,1.7,-1.16,-4.6,-29.45637813,-5.863939,-38.340294
47.54260867,7.58371693,304.73438,2008,-0.9634705485641486,0.0,2.0,1.02,-8.79,-61.24115279,-7.0356474,-48.154068
47.54260867,7.58371693,304.73438,2008,-0.970063921851507,0.0,2.1,-0.04,-12.8,-91.96888229,-8.11835,-57.54738
47.54260867,7.58371693,304.73438,2008,-0.7116566222817751,0.0001147301,2.2,-0.32,-12.09,-89.88374997,-10.223605,-75.81215
47.54260867,7.58371693,304.73438,2008,-0.27195815753410524,2.1500717e-05,2.4,-0.28,-17.57,-134.4502205,-10.303805,-76.50795
47.54260867,7.58371693,304.73438,2009,0.2386727660059501,0.0,1.8,-0.01,-10.26,-78.8,-11.972972,-90.9893
47.54260867,7.58371693,304.73438,2009,0.6994583270516471,6.977101e-05,3.1,0.06,-13.21,-99.3,-11.883946,-91.30201
47.54260867,7.58371693,304.73438,2009,0.9510565162951535,0.0,0.7,0.57,-11.63,-84.9,-10.018092,-74.02916
47.54260867,7.58371693,304.73438,2009,0.9760105506323683,0.0,1.3,-0.2,-6.23,-47.0,-8.323863,-59.330368
47.54260867,7.58371693,304.73438,2009,0.741222010848596,2.9940291e-05,-0.2,1.68,-4.26,-27.1,-7.171071,-55.386963
47.54260867,7.58371693,304.73438,2009,0.29671281927349075,8.838454e-05,0.2,-1.21,-5.9,-44.9,-5.8112288,-40.498062
47.54260867,7.58371693,304.73438,2009,-0.2135209154397959,0.0,0.4,-2.15,-4.42,-25.9,-5.1713886,-34.442947
47.54260867,7.58371693,304.73438,2009,-0.680773409477016,0.0001388321,-0.3,-0.19,-6.51,-44.1,-5.0594645,-31.009104
47.54260867,7.58371693,304.73438,2009,-0.9587178169872964,0.0,0.5,1.51,-5.48,-34.6,-6.0757513,-39.826202
47.54260867,7.58371693,304.73438,2009,-0.9741004551724206,7.531765e-05,-2.0,-1.03,-7.89,-55.9,-8.026609,-57.884026
47.54260867,7.58371693,304.73438,2009,-0.7236440382959123,5.270402e-05,-1.0,-0.02,-13.82,-102.4,-11.667209,-88.33656
