Lat,Lon,Alt,Year,JulianDay_Sin,Temp,O18,H2,O18 P,H2 P
52.3,104.2833333,427.25,2011,0.29671281927349075,283.98486,-14.0,-111.2,-15.740717,-113.46032
52.3,104.2833333,427.25,2011,-0.2135209154397959,296.2911,-9.7,-74.1,-13.181131,-93.25536
52.3,104.2833333,427.25,2011,-0.680773409477016,289.3462,-14.2,-101.4,-14.364336,-102.59539
52.3,104.2833333,427.25,2011,-0.9587178169872964,285.0388,-13.1,-108.0,-12.963808,-91.53985
52.3,104.2833333,427.25,2011,-0.9741004551724206,270.80997,-17.3,-127.0,-17.712725,-129.02702
52.3,104.2833333,427.25,2011,-0.7236440382959123,267.4311,-30.1,-224.1,-23.990953,-178.58635
52.3,104.2833333,427.25,2011,-0.2884824328806098,245.5639,-27.3,-208.7,-25.632952,-191.54802
52.3,104.2833333,427.25,2012,0.2386727660059501,261.34137,-29.0,-218.7,-25.793932,-192.81877
52.3,104.2833333,427.25,2012,0.6994583270516471,252.67146,-26.4,-207.4,-24.151934,-179.8571
52.3,104.2833333,427.25,2012,0.2802306751992159,285.04517,-10.0,-91.8,-15.4429035,-111.10943
52.3,104.2833333,427.25,2012,-0.23030567023061196,288.55252,-13.0,-100.8,-14.364336,-102.59539
52.3,104.2833333,427.25,2012,-0.6932812268869771,293.38803,-11.0,-87.1,-14.026278,-99.92681
52.3,104.2833333,427.25,2012,-0.9634705485641486,282.70758,-15.0,-107.9,-13.615778,-96.68639
52.3,104.2833333,427.25,2012,-0.970063921851507,273.24136,-29.9,-225.5,-17.229784,-125.214775
52.3,104.2833333,427.25,2012,-0.7116566222817751,259.9701,-22.3,-165.9,-25.198305,-188.11699
52.3,104.2833333,427.25,2013,0.2386727660059501,255.33873,-29.2,-226.2,-25.391481,-189.64189
52.3,104.2833333,427.25,2013,0.6994583270516471,262.44476,-30.7,-251.3,-23.20215,-172.35966
52.3,104.2833333,427.25,2013,0.9510565162951535,272.0206,-21.8,-169.2,-17.028559,-123.626335
52.3,104.2833333,427.25,2013,0.9760105506323683,273.59277,-12.6,-86.7,-16.143167,-116.6372
52.3,104.2833333,427.25,2013,0.741222010848596,290.72104,-12.8,-103.1,-12.110613,-84.80486
52.3,104.2833333,427.25,2013,0.29671281927349075,288.98105,-12.7,-99.7,-14.501169,-103.67553
52.3,104.2833333,427.25,2013,-0.2135209154397959,288.6188,-12.2,-103.6,-14.444826,-103.23077
52.3,104.2833333,427.25,2013,-0.680773409477016,291.16858,-10.9,-86.0,-14.299944,-102.08709
52.3,104.2833333,427.25,2013,-0.9587178169872964,282.2556,-15.7,-117.2,-13.953836,-99.35497
52.3,104.2833333,427.25,2013,-0.9741004551724206,270.29587,-16.3,-120.7,-17.640284,-128.45518
52.3,104.2833333,427.25,2014,-0.2884824328806098,266.30817,-29.6,-230.5,-24.602678,-183.4152
52.3,104.2833333,427.25,2015,0.2386727660059501,254.0976,-27.6,-215.2,-25.06952,-187.10039
52.3,104.2833333,427.25,2015,0.6994583270516471,255.59766,-25.9,-211.2,-23.685091,-176.17192
52.3,104.2833333,427.25,2015,0.9510565162951535,264.8988,-21.7,-175.3,-19.386919,-142.24284
52.3,104.2833333,427.25,2015,0.9760105506323683,274.89346,-15.3,-112.3,-15.273874,-109.77514
52.3,104.2833333,427.25,2015,0.741222010848596,284.80615,-10.7,-84.6,-13.317965,-94.3355
52.3,104.2833333,427.25,2015,0.29671281927349075,289.6717,-14.3,-107.2,-14.49312,-103.61199
52.3,104.2833333,427.25,2015,-0.2135209154397959,292.13568,-9.4,-61.8,-14.0021305,-99.7362
52.3,104.2833333,427.25,2015,-0.680773409477016,286.79733,-12.1,-85.6,-15.322168,-110.156364
52.3,104.2833333,427.25,2015,-0.9587178169872964,279.96805,-16.3,-127.3,-14.895571,-106.78887
52.3,104.2833333,427.25,2015,-0.9741004551724206,278.67822,-20.7,-158.7,-14.831179,-106.28057
52.3,104.2833333,427.25,2015,-0.7236440382959123,271.8202,-21.3,-169.8,-21.672838,-160.28752
52.3,104.2833333,427.25,2015,-0.2884824328806098,261.45505,-25.5,-201.8,-24.940737,-186.08379
52.3,104.2833333,427.25,2016,0.2386727660059501,237.81444,-33.8,-269.6,-27.242754,-204.25554
52.3,104.2833333,427.25,2016,0.6994583270516471,256.34158,-26.1,-209.1,-23.44362,-174.2658
52.3,104.2833333,427.25,2016,0.9562348265919056,273.4593,-26.0,-202.9,-16.12707,-116.510124
52.3,104.2833333,427.25,2016,0.9721181966290613,276.23322,-12.5,-102.1,-14.485071,-103.548454
52.3,104.2833333,427.25,2016,0.7295575540864875,285.2303,-16.4,-124.2,-13.317965,-94.3355
52.3,104.2833333,427.25,2016,0.2802306751992159,295.30023,-12.4,-103.6,-13.672121,-97.13116
52.3,104.2833333,427.25,2016,-0.23030567023061196,295.5241,-10.9,-82.7,-13.647974,-96.940544
52.3,104.2833333,427.25,2016,-0.6932812268869771,291.53262,-12.1,-89.8,-14.444826,-103.23077
52.3,104.2833333,427.25,2016,-0.9634705485641486,281.7547,-14.6,-109.1,-14.163111,-101.00695
52.3,104.2833333,427.25,2016,-0.970063921851507,278.09888,-27.5,-202.8,-15.185335,-109.076225
52.3,104.2833333,427.25,2016,-0.7116566222817751,266.15433,-27.8,-210.5,-23.491915,-174.64702
52.3,104.2833333,427.25,2016,-0.27195815753410524,254.54556,-26.4,-201.1,-24.90854,-185.82964
52.3,104.2833333,427.25,2012,-0.27195815753410524,256.0939,-35.1,-262.7,-25.89052,-193.58122
52.3,104.2833333,427.25,2017,0.9510565162951535,260.47137,-17.6,-126.8,-20.51378,-151.1381
52.3,104.2833333,427.25,2017,0.9760105506323683,270.12485,-20.9,-152.0,-17.471254,-127.1209
52.3,104.2833333,427.25,2017,0.2386727660059501,256.59677,-30.3,-230.6,-24.715364,-184.30473
52.3,104.2833333,427.25,2017,0.6994583270516471,260.36813,-25.9,-194.9,-22.687014,-168.29326
47.54260867,7.58371693,304.73438,2004,0.2386727660059501,274.69434,-11.9,-88.50962751,-11.997927,-83.91534
47.54260867,7.58371693,304.73438,2004,0.6994583270516471,276.20032,-9.88,-66.74413536,-11.8369465,-82.644585
47.54260867,7.58371693,304.73438,2004,0.9562348265919056,279.2048,-9.69,-71.5587575,-9.824694,-66.760185
47.54260867,7.58371693,304.73438,2004,0.9721181966290613,284.02167,-6.1,-40.66799847,-9.313581,-62.725548
47.54260867,7.58371693,304.73438,2004,0.7295575540864875,288.99155,-7.01,-50.25006643,-7.486456,-48.302513
47.54260867,7.58371693,304.73438,2004,0.2802306751992159,283.889,-7.21,-53.83051048,-7.3657207,-47.34945
47.54260867,7.58371693,304.73438,2004,-0.23030567023061196,294.9553,-5.49,-34.72560691,-6.4863663,-40.407967
47.54260867,7.58371693,304.73438,2004,-0.6932812268869771,292.1178,-4.8,-31.50057387,-6.3595943,-39.40725
47.54260867,7.58371693,304.73438,2004,-0.9634705485641486,289.50723,-4.92,-31.38678091,-8.074034,-52.940758
47.54260867,7.58371693,304.73438,2004,-0.970063921851507,282.97815,-10.75,-76.42100974,-8.798445,-58.65914
47.54260867,7.58371693,304.73438,2004,-0.7116566222817751,282.98523,-10.49,-75.39648751,-10.710085,-73.74932
47.54260867,7.58371693,304.73438,2004,-0.27195815753410524,279.3189,-13.22,-98.71358212,-11.474741,-79.78539
47.54260867,7.58371693,304.73438,2005,0.2386727660059501,279.46838,-6.66,-42.77138547,-10.935457,-75.52837
47.54260867,7.58371693,304.73438,2005,0.6994583270516471,280.56467,-15.78,-115.1328526,-9.7764,-66.37896
47.54260867,7.58371693,304.73438,2005,0.9510565162951535,280.88824,-8.02,-59.70485452,-9.683836,-65.64828
47.54260867,7.58371693,304.73438,2005,0.9760105506323683,288.3,-8.51,-58.19910378,-9.156626,-61.486565
47.54260867,7.58371693,304.73438,2005,0.741222010848596,293.8865,-6.95,-48.05079866,-7.6595097,-49.66857
47.54260867,7.58371693,304.73438,2005,0.29671281927349075,293.25107,-5.24,-32.64544918,-6.6171627,-41.440453
47.54260867,7.58371693,304.73438,2005,-0.2135209154397959,290.88892,-5.67,-37.45673818,-6.102026,-37.374046
