Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Temp,Precip,ENSO,NAO,O18,H2,O18 P,H2 P
52.3,104.2833333,427.25,2011,0.29671281927349075,0,0,0,1,0,283.98486,0.0,0.4,-1.28,-14.0,-111.2,-14.008217,-109.24171
52.3,104.2833333,427.25,2011,-0.2135209154397959,0,0,0,1,0,296.2911,2.2211607e-05,1.6,-1.51,-9.7,-74.1,-12.422123,-95.15388
52.3,104.2833333,427.25,2011,-0.680773409477016,0,0,0,1,0,289.3462,4.754567e-05,0.7,-1.35,-14.2,-101.4,-12.392197,-94.88807
52.3,104.2833333,427.25,2011,-0.9587178169872964,0,0,0,1,0,285.0388,0.0,1.7,0.54,-13.1,-108.0,-11.608128,-87.9239
52.3,104.2833333,427.25,2011,-0.9741004551724206,0,0,0,1,0,270.80997,0.0,1.2,0.39,-17.3,-127.0,-16.109043,-127.901436
52.3,104.2833333,427.25,2011,-0.7236440382959123,0,0,0,1,0,267.4311,0.0,1.8,1.36,-30.1,-224.1,-17.479668,-140.07544
52.3,104.2833333,427.25,2011,-0.2884824328806098,0,0,0,1,0,245.5639,0.0,4.1,2.52,-27.3,-208.7,-26.894482,-223.69867
52.3,104.2833333,427.25,2012,0.2386727660059501,0,0,0,1,0,261.34137,5.3495005e-06,1.8,1.17,-29.0,-218.7,-19.101673,-154.48224
52.3,104.2833333,427.25,2012,0.6994583270516471,0,0,0,1,0,252.67146,1.175598e-05,0.8,0.42,-26.4,-207.4,-23.063915,-189.67523
52.3,104.2833333,427.25,2012,0.2802306751992159,0,0,0,1,0,285.04517,2.3862134e-05,-0.7,-2.53,-10.0,-91.8,-14.792286,-116.20588
52.3,104.2833333,427.25,2012,-0.23030567023061196,0,0,0,1,0,288.55252,0.0,-0.1,-1.32,-13.0,-100.8,-12.733356,-97.91828
52.3,104.2833333,427.25,2012,-0.6932812268869771,0,0,0,1,0,293.38803,2.9586212e-05,-0.3,-0.98,-11.0,-87.1,-12.254536,-93.66535
