Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Temp,O18,H2,O18 P,H2 P
52.3,104.2833333,427.25,2011,0.29671281927349075,0,0,0,1,0,283.98486,-14.0,-111.2,-12.235744,-86.55793
52.3,104.2833333,427.25,2011,-0.2135209154397959,0,0,0,1,0,296.2911,-9.7,-74.1,-11.09973,-76.828064
52.3,104.2833333,427.25,2011,-0.680773409477016,0,0,0,1,0,289.3462,-14.2,-101.4,-11.537042,-80.57672
52.3,104.2833333,427.25,2011,-0.9587178169872964,0,0,0,1,0,285.0388,-13.1,-108.0,-12.041526,-84.98383
52.3,104.2833333,427.25,2011,-0.9741004551724206,0,0,0,1,0,270.80997,-17.3,-127.0,-17.719954,-132.52548
52.3,104.2833333,427.25,2011,-0.7236440382959123,0,0,0,1,0,267.4311,-30.1,-224.1,-18.876936,-141.80185
52.3,104.2833333,427.25,2011,-0.2884824328806098,0,0,0,1,0,245.5639,-27.3,-208.7,-23.24661,-176.8367
52.3,104.2833333,427.25,2012,0.2386727660059501,0,0,0,1,0,261.34137,-29.0,-218.7,-21.025618,-159.02939
52.3,104.2833333,427.25,2012,0.6994583270516471,0,0,0,1,0,252.67146,-26.4,-207.4,-22.905714,-174.10349
52.3,104.2833333,427.25,2012,0.2802306751992159,0,0,0,1,0,285.04517,-10.0,-91.8,-12.115477,-85.46818
52.3,104.2833333,427.25,2012,-0.23030567023061196,0,0,0,1,0,288.55252,-13.0,-100.8,-11.622237,-81.279495
52.3,104.2833333,427.25,2012,-0.6932812268869771,0,0,0,1,0,293.38803,-11.0,-87.1,-11.192187,-77.59737
52.3,104.2833333,427.25,2012,-0.9634705485641486,0,0,0,1,0,282.70758,-15.0,-107.9,-11.956585,-85.01093
52.3,104.2833333,427.25,2012,-0.970063921851507,0,0,0,1,0,273.24136,-29.9,-225.5,-16.51132,-122.835
52.3,104.2833333,427.25,2012,-0.7116566222817751,0,0,0,1,0,259.9701,-22.3,-165.9,-20.726042,-156.62747
52.3,104.2833333,427.25,2013,0.2386727660059501,0,0,0,1,0,255.33873,-29.2,-226.2,-22.244581,-168.8027
52.3,104.2833333,427.25,2013,0.6994583270516471,0,0,0,1,0,262.44476,-30.7,-251.3,-20.757032,-156.87595
52.3,104.2833333,427.25,2013,0.9510565162951535,0,0,0,1,0,272.0206,-21.8,-169.2,-16.728254,-124.57432
52.3,104.2833333,427.25,2013,0.9760105506323683,0,0,0,1,0,273.59277,-12.6,-86.7,-15.726226,-116.54032
52.3,104.2833333,427.25,2013,0.741222010848596,0,0,0,1,0,290.72104,-12.8,-103.1,-11.588254,-80.89956
52.3,104.2833333,427.25,2013,0.29671281927349075,0,0,0,1,0,288.98105,-12.7,-99.7,-11.656168,-81.47839
52.3,104.2833333,427.25,2013,-0.2135209154397959,0,0,0,1,0,288.6188,-12.2,-103.6,-11.618796,-81.24599
52.3,104.2833333,427.25,2013,-0.680773409477016,0,0,0,1,0,291.16858,-10.9,-86.0,-11.356836,-79.02902
52.3,104.2833333,427.25,2013,-0.9587178169872964,0,0,0,1,0,282.2556,-15.7,-117.2,-11.912629,-84.845406
52.3,104.2833333,427.25,2013,-0.9741004551724206,0,0,0,1,0,270.29587,-16.3,-120.7,-17.967878,-134.51328
52.3,104.2833333,427.25,2014,-0.2884824328806098,0,0,0,1,0,266.30817,-29.6,-230.5,-19.300474,-145.19766
52.3,104.2833333,427.25,2015,0.2386727660059501,0,0,0,1,0,254.0976,-27.6,-215.2,-22.440855,-170.37637
52.3,104.2833333,427.25,2015,0.6994583270516471,0,0,0,1,0,255.59766,-25.9,-211.2,-22.037977,-167.14621
52.3,104.2833333,427.25,2015,0.9510565162951535,0,0,0,1,0,264.8988,-21.7,-175.3,-19.765333,-148.92477
52.3,104.2833333,427.25,2015,0.9760105506323683,0,0,0,1,0,274.89346,-15.3,-112.3,-14.91014,-109.99717
52.3,104.2833333,427.25,2015,0.741222010848596,0,0,0,1,0,284.80615,-10.7,-84.6,-12.117966,-85.59107
52.3,104.2833333,427.25,2015,0.29671281927349075,0,0,0,1,0,289.6717,-14.3,-107.2,-11.566718,-80.72207
52.3,104.2833333,427.25,2015,-0.2135209154397959,0,0,0,1,0,292.13568,-9.4,-61.8,-11.326821,-78.71693
52.3,104.2833333,427.25,2015,-0.680773409477016,0,0,0,1,0,286.79733,-12.1,-85.6,-11.801631,-82.927155
52.3,104.2833333,427.25,2015,-0.9587178169872964,0,0,0,1,0,279.96805,-16.3,-127.3,-12.162307,-87.9658
52.3,104.2833333,427.25,2015,-0.9741004551724206,0,0,0,1,0,278.67822,-20.7,-158.7,-13.081695,-95.3372
52.3,104.2833333,427.25,2015,-0.7236440382959123,0,0,0,1,0,271.8202,-21.3,-169.8,-17.110472,-127.63883
52.3,104.2833333,427.25,2015,-0.2884824328806098,0,0,0,1,0,261.45505,-25.5,-201.8,-20.60208,-155.63358
52.3,104.2833333,427.25,2016,0.2386727660059501,0,0,0,1,0,237.81444,-33.8,-269.6,-25.849821,-197.70853
52.3,104.2833333,427.25,2016,0.6994583270516471,0,0,0,1,0,256.34158,-26.1,-209.1,-21.70741,-164.49582
52.3,104.2833333,427.25,2016,0.9562348265919056,0,0,0,1,0,273.4593,-26.0,-202.9,-15.870849,-117.69987
52.3,104.2833333,427.25,2016,0.9721181966290613,0,0,0,1,0,276.23322,-12.5,-102.1,-13.990752,-102.62577
52.3,104.2833333,427.25,2016,0.7295575540864875,0,0,0,1,0,285.2303,-16.4,-124.2,-12.00919,-84.69741
52.3,104.2833333,427.25,2016,0.2802306751992159,0,0,0,1,0,295.30023,-12.4,-103.6,-11.132602,-77.00428
52.3,104.2833333,427.25,2016,-0.23030567023061196,0,0,0,1,0,295.5241,-10.9,-82.7,-11.122738,-76.96398
52.3,104.2833333,427.25,2016,-0.6932812268869771,0,0,0,1,0,291.53262,-12.1,-89.8,-11.37518,-79.203926
52.3,104.2833333,427.25,2016,-0.9634705485641486,0,0,0,1,0,281.7547,-14.6,-109.1,-11.780736,-84.30634
52.3,104.2833333,427.25,2016,-0.970063921851507,0,0,0,1,0,278.09888,-27.5,-202.8,-13.536223,-98.98148
52.3,104.2833333,427.25,2016,-0.7116566222817751,0,0,0,1,0,266.15433,-27.8,-210.5,-19.383116,-145.86026
52.3,104.2833333,427.25,2016,-0.27195815753410524,0,0,0,1,0,254.54556,-26.4,-201.1,-21.965666,-166.56644
52.3,104.2833333,427.25,2012,-0.27195815753410524,0,0,0,1,0,256.0939,-35.1,-262.7,-21.552458,-163.25345
52.3,104.2833333,427.25,2017,0.9510565162951535,0,0,0,1,0,260.47137,-17.6,-126.8,-20.715712,-156.54465
52.3,104.2833333,427.25,2017,0.9760105506323683,0,0,0,1,0,270.12485,-20.9,-152.0,-17.688963,-132.27701
52.3,104.2833333,427.25,2017,0.2386727660059501,0,0,0,1,0,256.59677,-30.3,-230.6,-21.862364,-165.73819
52.3,104.2833333,427.25,2017,0.6994583270516471,0,0,0,1,0,260.36813,-25.9,-194.9,-20.767363,-156.95877
47.54260867,7.58371693,304.73438,2004,0.2386727660059501,0,0,1,0,0,274.69434,-11.9,-88.50962751,-11.728438,-84.48716
47.54260867,7.58371693,304.73438,2004,0.6994583270516471,0,0,1,0,0,276.20032,-9.88,-66.74413536,-11.149947,-79.848976
47.54260867,7.58371693,304.73438,2004,0.9562348265919056,0,0,1,0,0,279.2048,-9.69,-71.5587575,-9.822516,-69.206
47.54260867,7.58371693,304.73438,2004,0.9721181966290613,0,0,1,0,0,284.02167,-6.1,-40.66799847,-8.142419,-55.80786
47.54260867,7.58371693,304.73438,2004,0.7295575540864875,0,0,1,0,0,288.99155,-7.01,-50.25006643,-6.16803,-40.18289
47.54260867,7.58371693,304.73438,2004,0.2802306751992159,0,0,1,0,0,283.889,-7.21,-53.83051048,-7.301098,-49.23407
47.54260867,7.58371693,304.73438,2004,-0.23030567023061196,0,0,1,0,0,294.9553,-5.49,-34.72560691,-5.1946793,-31.785162
47.54260867,7.58371693,304.73438,2004,-0.6932812268869771,0,0,1,0,0,292.1178,-4.8,-31.50057387,-6.120981,-39.74932
47.54260867,7.58371693,304.73438,2004,-0.9634705485641486,0,0,1,0,0,289.50723,-4.92,-31.38678091,-7.253769,-48.770073
47.54260867,7.58371693,304.73438,2004,-0.970063921851507,0,0,1,0,0,282.97815,-10.75,-76.42100974,-8.177825,-56.11818
