Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Precip,O18,H2,O18 P,H2 P
52.3,104.2833333,427.25,2011,0.29671281927349075,0,0,0,1,0,0.0,-14.0,-111.2,-15.116573,-112.36923
52.3,104.2833333,427.25,2011,-0.2135209154397959,0,0,0,1,0,2.2211607e-05,-9.7,-74.1,-13.704647,-100.78378
52.3,104.2833333,427.25,2011,-0.680773409477016,0,0,0,1,0,4.754567e-05,-14.2,-101.4,-13.683254,-100.608246
52.3,104.2833333,427.25,2011,-0.9587178169872964,0,0,0,1,0,0.0,-13.1,-108.0,-13.565594,-99.64279
52.3,104.2833333,427.25,2011,-0.9741004551724206,0,0,0,1,0,0.0,-17.3,-127.0,-13.565594,-99.64279
52.3,104.2833333,427.25,2011,-0.7236440382959123,0,0,0,1,0,0.0,-30.1,-224.1,-13.704647,-100.78378
52.3,104.2833333,427.25,2011,-0.2884824328806098,0,0,0,1,0,0.0,-27.3,-208.7,-13.758129,-101.222626
52.3,104.2833333,427.25,2012,0.2386727660059501,0,0,0,1,0,5.3495005e-06,-29.0,-218.7,-14.624538,-108.33188
52.3,104.2833333,427.25,2012,0.6994583270516471,0,0,0,1,0,1.175598e-05,-26.4,-207.4,-15.715572,-117.28427
52.3,104.2833333,427.25,2012,0.2802306751992159,0,0,0,1,0,2.3862134e-05,-10.0,-91.8,-14.763592,-109.47287
52.3,104.2833333,427.25,2012,-0.23030567023061196,0,0,0,1,0,0.0,-13.0,-100.8,-13.758129,-101.222626
52.3,104.2833333,427.25,2012,-0.6932812268869771,0,0,0,1,0,2.9586212e-05,-11.0,-87.1,-13.688602,-100.65213
52.3,104.2833333,427.25,2012,-0.9634705485641486,0,0,0,1,0,1.6699816e-05,-15.0,-107.9,-13.544201,-99.467255
52.3,104.2833333,427.25,2012,-0.970063921851507,0,0,0,1,0,0.0,-29.9,-225.5,-13.565594,-99.64279
52.3,104.2833333,427.25,2012,-0.7116566222817751,0,0,0,1,0,0.0,-22.3,-165.9,-13.720692,-100.915436
52.3,104.2833333,427.25,2013,0.2386727660059501,0,0,0,1,0,0.0,-29.2,-226.2,-14.442699,-106.83981
52.3,104.2833333,427.25,2013,0.6994583270516471,0,0,0,1,0,0.0,-30.7,-251.3,-15.726269,-117.37204
52.3,104.2833333,427.25,2013,0.9510565162951535,0,0,0,1,0,0.0,-21.8,-169.2,-15.736965,-117.45981
52.3,104.2833333,427.25,2013,0.9760105506323683,0,0,0,1,0,0.0,-12.6,-86.7,-15.736965,-117.45981
52.3,104.2833333,427.25,2013,0.741222010848596,0,0,0,1,0,0.0,-12.8,-103.1,-15.726269,-117.37204
52.3,104.2833333,427.25,2013,0.29671281927349075,0,0,0,1,0,0.0,-12.7,-99.7,-14.849163,-110.17502
52.3,104.2833333,427.25,2013,-0.2135209154397959,0,0,0,1,0,0.0,-12.2,-103.6,-13.758129,-101.222626
52.3,104.2833333,427.25,2013,-0.680773409477016,0,0,0,1,0,0.0,-10.9,-86.0,-13.747433,-101.13486
52.3,104.2833333,427.25,2013,-0.9587178169872964,0,0,0,1,0,0.0,-15.7,-117.2,-13.565594,-99.64279
52.3,104.2833333,427.25,2013,-0.9741004551724206,0,0,0,1,0,0.0,-16.3,-120.7,-13.565594,-99.64279
52.3,104.2833333,427.25,2014,-0.2884824328806098,0,0,0,1,0,1.1362139e-05,-29.6,-230.5,-13.720692,-100.915436
52.3,104.2833333,427.25,2015,0.2386727660059501,0,0,0,1,0,0.0,-27.6,-215.2,-14.185986,-104.73337
52.3,104.2833333,427.25,2015,0.6994583270516471,0,0,0,1,0,0.0,-25.9,-211.2,-15.715572,-117.28427
52.3,104.2833333,427.25,2015,0.9510565162951535,0,0,0,1,0,0.0,-21.7,-175.3,-15.736965,-117.45981
52.3,104.2833333,427.25,2015,0.9760105506323683,0,0,0,1,0,0.0,-15.3,-112.3,-15.736965,-117.45981
52.3,104.2833333,427.25,2015,0.741222010848596,0,0,0,1,0,0.0,-10.7,-84.6,-15.726269,-117.37204
52.3,104.2833333,427.25,2015,0.29671281927349075,0,0,0,1,0,0.0,-14.3,-107.2,-14.56036,-107.80527
52.3,104.2833333,427.25,2015,-0.2135209154397959,0,0,0,1,0,0.00010476876,-9.4,-61.8,-13.688602,-100.65213
52.3,104.2833333,427.25,2015,-0.680773409477016,0,0,0,1,0,5.4737215e-05,-12.1,-85.6,-13.677906,-100.56436
52.3,104.2833333,427.25,2015,-0.9587178169872964,0,0,0,1,0,0.0,-16.3,-127.3,-13.565594,-99.64279
52.3,104.2833333,427.25,2015,-0.9741004551724206,0,0,0,1,0,0.0,-20.7,-158.7,-13.565594,-99.64279
52.3,104.2833333,427.25,2015,-0.7236440382959123,0,0,0,1,0,0.0,-21.3,-169.8,-13.586987,-99.81833
52.3,104.2833333,427.25,2015,-0.2884824328806098,0,0,0,1,0,0.0,-25.5,-201.8,-13.747433,-101.13486
52.3,104.2833333,427.25,2016,0.2386727660059501,0,0,0,1,0,0.0,-33.8,-269.6,-14.164593,-104.55783
52.3,104.2833333,427.25,2016,0.6994583270516471,0,0,0,1,0,0.0,-26.1,-209.1,-15.715572,-117.28427
52.3,104.2833333,427.25,2016,0.9562348265919056,0,0,0,1,0,0.0,-26.0,-202.9,-15.736965,-117.45981
52.3,104.2833333,427.25,2016,0.9721181966290613,0,0,0,1,0,0.0,-12.5,-102.1,-15.736965,-117.45981
52.3,104.2833333,427.25,2016,0.7295575540864875,0,0,0,1,0,0.0,-16.4,-124.2,-15.726269,-117.37204
52.3,104.2833333,427.25,2016,0.2802306751992159,0,0,0,1,0,0.0,-12.4,-103.6,-14.41061,-106.57651
52.3,104.2833333,427.25,2016,-0.23030567023061196,0,0,0,1,0,0.0,-10.9,-82.7,-13.747433,-101.13486
52.3,104.2833333,427.25,2016,-0.6932812268869771,0,0,0,1,0,0.0,-12.1,-89.8,-13.704647,-100.78378
52.3,104.2833333,427.25,2016,-0.9634705485641486,0,0,0,1,0,6.515779e-05,-14.6,-109.1,-13.528156,-99.3356
52.3,104.2833333,427.25,2016,-0.970063921851507,0,0,0,1,0,3.4144956e-05,-27.5,-202.8,-13.528156,-99.3356
52.3,104.2833333,427.25,2016,-0.7116566222817751,0,0,0,1,0,0.0,-27.8,-210.5,-13.619076,-100.081635
52.3,104.2833333,427.25,2016,-0.27195815753410524,0,0,0,1,0,4.3128384e-06,-26.4,-201.1,-13.736736,-101.04709
52.3,104.2833333,427.25,2012,-0.27195815753410524,0,0,0,1,0,0.0,-35.1,-262.7,-13.747433,-101.13486
52.3,104.2833333,427.25,2017,0.9510565162951535,0,0,0,1,0,0.0,-17.6,-126.8,-15.736965,-117.45981
52.3,104.2833333,427.25,2017,0.9760105506323683,0,0,0,1,0,0.0,-20.9,-152.0,-15.736965,-117.45981
52.3,104.2833333,427.25,2017,0.2386727660059501,0,0,0,1,0,0.0,-30.3,-230.6,-14.185986,-104.73337
