Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Temp,O18,H2,O18 P,H2 P
52.3,104.2833333,427.25,2011,0.29671281927349075,0,0,0,1,0,283.98486,-14.0,-111.2,-12.4607725,-86.97107
52.3,104.2833333,427.25,2011,-0.2135209154397959,0,0,0,1,0,296.2911,-9.7,-74.1,-12.641425,-88.376465
52.3,104.2833333,427.25,2011,-0.680773409477016,0,0,0,1,0,289.3462,-14.2,-101.4,-12.585361,-87.94031
52.3,104.2833333,427.25,2011,-0.9587178169872964,0,0,0,1,0,285.0388,-13.1,-108.0,-14.964992,-106.45276
52.3,104.2833333,427.25,2011,-0.9741004551724206,0,0,0,1,0,270.80997,-17.3,-127.0,-16.715454,-120.07056
52.3,104.2833333,427.25,2011,-0.7236440382959123,0,0,0,1,0,267.4311,-30.1,-224.1,-19.269508,-139.93994
52.3,104.2833333,427.25,2011,-0.2884824328806098,0,0,0,1,0,245.5639,-27.3,-208.7,-28.426727,-211.17896
52.3,104.2833333,427.25,2012,0.2386727660059501,0,0,0,1,0,261.34137,-29.0,-218.7,-24.888428,-183.65259
52.3,104.2833333,427.25,2012,0.6994583270516471,0,0,0,1,0,252.67146,-26.4,-207.4,-20.652435,-150.69849
52.3,104.2833333,427.25,2012,0.2802306751992159,0,0,0,1,0,285.04517,-10.0,-91.8,-12.348643,-86.098755
52.3,104.2833333,427.25,2012,-0.23030567023061196,0,0,0,1,0,288.55252,-13.0,-100.8,-12.822078,-89.78186
52.3,104.2833333,427.25,2012,-0.6932812268869771,0,0,0,1,0,293.38803,-11.0,-87.1,-12.48569,-87.16492
52.3,104.2833333,427.25,2012,-0.9634705485641486,0,0,0,1,0,282.70758,-15.0,-107.9,-14.989909,-106.64661
52.3,104.2833333,427.25,2012,-0.970063921851507,0,0,0,1,0,273.24136,-29.9,-225.5,-15.768584,-112.704346
52.3,104.2833333,427.25,2012,-0.7116566222817751,0,0,0,1,0,259.9701,-22.3,-165.9,-24.776299,-182.78027
52.3,104.2833333,427.25,2013,0.2386727660059501,0,0,0,1,0,255.33873,-29.2,-226.2,-26.458237,-195.86499
52.3,104.2833333,427.25,2013,0.6994583270516471,0,0,0,1,0,262.44476,-30.7,-251.3,-18.970497,-137.61377
52.3,104.2833333,427.25,2013,0.9510565162951535,0,0,0,1,0,272.0206,-21.8,-169.2,-17.014465,-122.39673
52.3,104.2833333,427.25,2013,0.9760105506323683,0,0,0,1,0,273.59277,-12.6,-86.7,-16.491196,-118.32593
52.3,104.2833333,427.25,2013,0.741222010848596,0,0,0,1,0,290.72104,-12.8,-103.1,-14.510245,-102.91504
52.3,104.2833333,427.25,2013,0.29671281927349075,0,0,0,1,0,288.98105,-12.7,-99.7,-12.1181555,-84.305664
52.3,104.2833333,427.25,2013,-0.2135209154397959,0,0,0,1,0,288.6188,-12.2,-103.6,-12.809619,-89.68494
52.3,104.2833333,427.25,2013,-0.680773409477016,0,0,0,1,0,291.16858,-10.9,-86.0,-12.529296,-87.50415
52.3,104.2833333,427.25,2013,-0.9587178169872964,0,0,0,1,0,282.2556,-15.7,-117.2,-14.996139,-106.69507
52.3,104.2833333,427.25,2013,-0.9741004551724206,0,0,0,1,0,270.29587,-16.3,-120.7,-16.96463,-122.00903
52.3,104.2833333,427.25,2014,-0.2884824328806098,0,0,0,1,0,266.30817,-29.6,-230.5,-19.381638,-140.81226
52.3,104.2833333,427.25,2015,0.2386727660059501,0,0,0,1,0,254.0976,-27.6,-215.2,-26.694954,-197.70654
52.3,104.2833333,427.25,2015,0.6994583270516471,0,0,0,1,0,255.59766,-25.9,-211.2,-19.954742,-145.27075
52.3,104.2833333,427.25,2015,0.9510565162951535,0,0,0,1,0,264.8988,-21.7,-175.3,-17.824287,-128.69678
52.3,104.2833333,427.25,2015,0.9760105506323683,0,0,0,1,0,274.89346,-15.3,-112.3,-16.017761,-114.64282
52.3,104.2833333,427.25,2015,0.741222010848596,0,0,0,1,0,284.80615,-10.7,-84.6,-14.715816,-104.51428
52.3,104.2833333,427.25,2015,0.29671281927349075,0,0,0,1,0,289.6717,-14.3,-107.2,-12.055861,-83.821045
52.3,104.2833333,427.25,2015,-0.2135209154397959,0,0,0,1,0,292.13568,-9.4,-61.8,-12.685031,-88.7157
52.3,104.2833333,427.25,2015,-0.680773409477016,0,0,0,1,0,286.79733,-12.1,-85.6,-12.678802,-88.66724
52.3,104.2833333,427.25,2015,-0.9587178169872964,0,0,0,1,0,279.96805,-16.3,-127.3,-15.058433,-107.17969
52.3,104.2833333,427.25,2015,-0.9741004551724206,0,0,0,1,0,278.67822,-20.7,-158.7,-15.145644,-107.858154
52.3,104.2833333,427.25,2015,-0.7236440382959123,0,0,0,1,0,271.8202,-21.3,-169.8,-15.145644,-107.858154
52.3,104.2833333,427.25,2015,-0.2884824328806098,0,0,0,1,0,261.45505,-25.5,-201.8,-23.792053,-175.12329
52.3,104.2833333,427.25,2016,0.2386727660059501,0,0,0,1,0,237.81444,-33.8,-269.6,-29.02475,-215.8313
52.3,104.2833333,427.25,2016,0.6994583270516471,0,0,0,1,0,256.34158,-26.1,-209.1,-19.76786,-143.8169
52.3,104.2833333,427.25,2016,0.9562348265919056,0,0,0,1,0,273.4593,-26.0,-202.9,-16.478737,-118.229004
52.3,104.2833333,427.25,2016,0.9721181966290613,0,0,0,1,0,276.23322,-12.5,-102.1,-15.531867,-110.86279
